"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV1",9485,5117,15573,5881,15253,9213,7455,2036,434,16655,24710,23995,21726,24967,16183,15554
"ASV2",2789,1483,7142,2323,6084,3412,1929,498,228,5033,7680,8020,8904,13359,5361,5273
"ASV3",523,168,1435,917,1517,1281,791,171,56,2638,3930,3671,1976,4613,2142,2064
"ASV4",710,277,4103,1345,2662,1216,1777,514,75,2577,1590,1829,2503,908,2901,2497
"ASV5",720,0,1713,0,1936,1000,760,138,0,1946,1825,3008,1568,4958,1217,2507
"ASV6",4271,1945,19,18,131,985,7482,670,4911,688,32,45,327,32,211,661
"ASV7",159,0,176,0,39,0,561,4278,14088,0,0,39,0,0,0,0
"ASV8",624,320,0,0,0,232,2116,106,1172,177,0,0,0,0,78,153
"ASV11",0,0,11,0,472,541,64,239,71,0,142,250,772,212,543,377
"ASV12",0,0,46,0,444,247,72,32,38,224,0,666,395,87,294,369
"ASV13",0,0,279,0,341,294,0,0,0,328,0,0,0,484,658,455
"ASV14",170,218,235,0,139,425,153,236,0,104,30,0,0,105,496,0
"ASV16",0,0,0,0,0,0,0,0,0,0,601,321,337,385,0,0
"ASV18",0,0,0,0,773,0,0,0,0,122,0,0,445,0,0,220
"ASV19",0,0,25,0,184,160,222,0,132,0,47,68,226,59,179,99
"ASV20",150,45,82,0,0,0,57,0,0,395,0,348,58,42,0,56
"ASV21",0,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0
"ASV24",0,0,8,0,269,0,0,0,0,331,18,0,342,0,0,0
"ASV25",382,56,0,0,45,0,45,0,0,43,0,102,146,0,72,60
"ASV26",0,0,0,0,0,0,0,0,0,639,0,263,0,0,0,0
"ASV27",0,0,40,0,0,0,0,0,0,90,317,163,103,182,0,0
"ASV28",277,0,0,0,0,0,402,0,205,0,0,0,0,0,0,0
"ASV29",0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV31",9,0,93,89,0,24,24,84,0,43,289,0,0,59,43,20
"ASV32",0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV34",21,57,26,76,6,0,92,231,185,11,13,5,0,0,34,0
"ASV35",0,0,0,0,0,0,0,0,0,63,191,156,94,231,0,0
"ASV38",0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV39",86,0,50,0,0,0,0,0,0,207,0,214,78,0,0,0
"ASV40",22,0,0,0,0,126,172,81,61,0,0,67,48,0,41,0
"ASV41",34,34,83,0,46,148,41,49,0,37,0,0,0,39,105,0
"ASV42",0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV43",0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV44",0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV45",0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV47",0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV48",0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV49",0,0,0,0,0,92,82,107,47,0,0,0,87,20,53,69
"ASV50",237,0,0,273,0,0,0,0,0,0,0,0,0,44,0,0
