OTU_ID	LME1636	LME1637	LME1656	LME1663	LME1668	LME1670	LME1679	LME1689	LME1692	LME1695	LME1698	LME1701	LME1702	LME1705	LME1708	LME1714	Centroid_ASV	Tax_Rank	Phylum	Class	Order	Family	Subfamily	Genus	Species	Confidence	Supporting_Recs	Best_ID_percent	Number_of_BOLD_hits	Top_hit_families	Top_hit_genera	Top_hit_species	Ambiguous_family	Ambiguous_genus	Ambiguous_species	Assignment_status
OTU_1	15580	7550	30933	10542	28789	17367	13814	8201	15777	31145	41073	42434	38539	50525	29595	29087	ASV1	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.33	98	100.00	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus fruticosus agg.;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris	NO	NO	YES	Assigned
OTU_2	5310	2318	0	0	148	1299	10449	776	6548	875	0	0	327	0	289	859	ASV6	CLASS	Tracheophyta	Magnoliopsida						100.0	89	99.34	100	Boraginaceae	Omphalodes	Omphalodes verna	NO	NO	NO	Assigned
OTU_3	0	0	0	0	472	541	64	239	71	152	142	250	912	212	543	377	ASV11	GENUS	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Violoideae	Viola		98.72	96	100.00	100	Violaceae	Viola	Viola reichenbachiana;Viola riviniana	NO	NO	YES	Assigned
OTU_4	0	0	46	0	493	247	108	32	38	227	88	666	414	87	299	380	ASV12	SUBFAMILY	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassicoideae			91.13	56	100.00	100	Primulaceae	Cyclamen	Cyclamen purpurascens	NO	NO	NO	Assigned
OTU_5	0	0	25	0	281	252	304	247	179	47	47	68	345	79	232	168	ASV19	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Fragaria		100.0	43	99.76	100	Rosaceae	Fragaria	Fragaria vesca	NO	NO	NO	Assigned
OTU_6	0	0	8	0	269	0	0	0	0	461	18	0	406	52	0	0	ASV24	GENUS	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculoideae	Clematis		99.48	69	100.00	100	Ranunculaceae	Clematis	Clematis vitalba	NO	NO	NO	Assigned
OTU_7	11	0	17163	0	0	0	0	0	0	0	0	0	0	21	0	0	ASV29	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_8	9	0	118	89	0	24	24	84	0	43	289	0	0	59	43	20	ASV31	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rosa		99.33	99	100.00	100	Rosaceae	Rosa	Rosa arvensis;Rosa caesia;Rosa canina;Rosa micrantha;Rosa obtusifolia;Rosa sericea;Rosa tomentosa	NO	NO	YES	Assigned
OTU_9	22	0	6	0	46	141	325	113	102	0	0	141	102	0	76	6	ASV40	SUBFAMILY	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae			100.0	4	100.00	100	Rosaceae	Aremonia	Aremonia agrimonioides	NO	NO	NO	Assigned
OTU_10	34	34	101	0	76	270	45	102	10	44	0	0	0	39	215	4	ASV41	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.48	35	99.54	100	Rosaceae	Rubus	Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus	NO	NO	YES	Assigned
