ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1035,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.31,95,100.00,100,Asteraceae;Rosaceae;Sapindaceae,Acer;Dittrichia;Rubus,Acer pseudoplatanus;Dittrichia viscosa;Rubus aff. adenotrichos PGGS-2007;Rubus allegheniensis;Rubus arcticus;Rubus caesius;Rubus canadensis;Rubus chroosepalus;Rubus ellipticus;Rubus hispidus;Rubus pensilvanicus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus;Rubus ursinus,YES,YES,YES,Assigned
ASV1061,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,,84.45,84,100.00,100,Asteraceae,Carlina;Cirsium;Saussurea,Carlina vulgaris;Cirsium acaule;Cirsium oleraceum;Saussurea alpina;Saussurea angustifolia,NO,YES,YES,Assigned
ASV1066,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,78.97,65,100.00,100,Boraginaceae;Orobanchaceae,Castilleja;Eritrichium;Hackelia;Lycopsis;Mertensia;Myosotis;Pentaglottis,Castilleja yukonis;Eritrichium splendens;Hackelia micrantha;Lycopsis arvensis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata;Myosotis alpestris;Myosotis arvensis;Myosotis laxa;Myosotis ramosissima;Myosotis scorpioides;Myosotis stolonifera;Myosotis sylvatica;Pentaglottis sempervirens,YES,YES,YES,Low-confidence
ASV1116,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,,,85.68,14,99.21,100,Boraginaceae,Amsinckia;Cryptantha;Myosotis,Amsinckia menziesii;Cryptantha parviflora;Myosotis secunda,NO,YES,YES,Assigned
ASV1154,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,95.07,73,100.00,100,Orobanchaceae;Rosaceae,Castilleja;Rubus,Castilleja unalaschcensis;Rubus coreanus;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus lambertianus;Rubus parviflorus;Rubus pubescens;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,YES,YES,YES,Assigned
ASV1159,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,78.43,38,97.74,100,Asteraceae,Achillea;Arnica;Chromolaena;Praxelis;Riencourtia;Sigesbeckia;Viguiera,Achillea maritima;Arnica chamissonis;Chromolaena multiflosculosa;Praxelis asperulacea;Riencourtia pedunculosa;Sigesbeckia flosculosa;Viguiera dentata,NO,YES,YES,Low-confidence
ASV348,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORDER,Tracheophyta,Magnoliopsida,Lamiales,,,,,87.33,65,99.34,100,Boraginaceae;Orobanchaceae,Omphalodes;Rhinanthus,Omphalodes verna;Rhinanthus freynii,YES,YES,YES,Assigned
ASV447,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,87.28,52,100.00,100,Myrsinaceae;Primulaceae,Anagallis;Lysimachia,Anagallis arvensis;Lysimachia terrestris,YES,YES,YES,Assigned
ASV513,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,,Hedera,,92.89,17,99.56,100,Araliaceae;Ranunculaceae,Clematis;Hedera,Clematis flammula;Hedera helix;Hedera helix subsp. helix,YES,YES,YES,Assigned
ASV538,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,98.72,94,99.15,100,Boraginaceae;Orobanchaceae,Castilleja;Mertensia,Castilleja yukonis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata,YES,YES,YES,Assigned
