ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1041,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,75.57,22,97.26,100,Cucurbitaceae,Thladiantha,Thladiantha cordifolia,NO,NO,NO,Low-confidence
ASV1066,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,78.97,65,100.00,100,Boraginaceae;Orobanchaceae,Castilleja;Eritrichium;Hackelia;Lycopsis;Mertensia;Myosotis;Pentaglottis,Castilleja yukonis;Eritrichium splendens;Hackelia micrantha;Lycopsis arvensis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata;Myosotis alpestris;Myosotis arvensis;Myosotis laxa;Myosotis ramosissima;Myosotis scorpioides;Myosotis stolonifera;Myosotis sylvatica;Pentaglottis sempervirens,YES,YES,YES,Low-confidence
ASV1068,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,ORDER,Tracheophyta,Magnoliopsida,Rosales,,,,,74.14,74,97.86,100,Boraginaceae,Symphytum,Symphytum tuberosum,NO,NO,NO,Low-confidence
ASV1103,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,75.24,20,98.85,100,Primulaceae,Cyclamen,Cyclamen purpurascens,NO,NO,NO,Low-confidence
ASV1159,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,78.43,38,97.74,100,Asteraceae,Achillea;Arnica;Chromolaena;Praxelis;Riencourtia;Sigesbeckia;Viguiera,Achillea maritima;Arnica chamissonis;Chromolaena multiflosculosa;Praxelis asperulacea;Riencourtia pedunculosa;Sigesbeckia flosculosa;Viguiera dentata,NO,YES,YES,Low-confidence
ASV1206,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,,79.71,60,100.00,100,Betulaceae,Corylus,Corylus heterophylla;Corylus sieboldiana,NO,NO,YES,Low-confidence
ASV1209,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,,,71.5,3,99.50,100,,,,NO,NO,NO,Low-confidence
ASV28,884,277,0,0,0,0,0,402,0,205,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,70.1,16,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Low-confidence
ASV299,67,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,63,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,,76.49,64,100.00,100,Ranunculaceae,Helleborus,Helleborus niger,NO,NO,NO,Low-confidence
ASV806,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,72.74,53,100.00,100,Boraginaceae,Lappula,Lappula balchaschensis,NO,NO,NO,Low-confidence
ASV854,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,,,,70.18,61,100.00,100,Ulmaceae,Ulmus,Ulmus bergmanniana;Ulmus castaneifolia;Ulmus davidiana;Ulmus glabra;Ulmus glabra Huds.;Ulmus glaucescens;Ulmus minor;Ulmus procera;Ulmus pumila;Ulmus rubra,NO,NO,YES,Low-confidence
