Sample,Total_UNCROSS2_reads,Plant_target_reads,Plant_target_percent,Unassigned_reads,Unassigned_percent,Low_confidence_reads,Ambiguous_genus_reads,Ambiguous_species_reads
LME1636,24014,21299,88.69,2715,11.31,277,28,14774
LME1637,9967,9967,100.0,0,0.0,3,53,7367
LME1656,49360,31335,63.48,18025,36.52,7,0,29254
LME1663,10949,10676,97.51,273,2.49,0,0,9674
LME1668,32903,32134,97.66,769,2.34,0,0,27741
LME1670,20514,20514,100.0,0,0.0,12,15,16599
LME1679,25324,25322,99.99,2,0.01,402,73,13067
LME1689,10395,10395,100.0,0,0.0,0,0,8674
LME1692,23738,23738,100.0,0,0.0,216,38,16659
LME1695,33699,33357,98.99,342,1.01,5,6,27141
LME1698,42228,42228,100.0,0,0.0,0,0,37557
LME1701,43839,43839,100.0,0,0.0,0,0,37983
LME1702,41686,41654,99.92,32,0.08,0,10,37106
LME1705,51853,51310,98.95,543,1.05,0,10,45609
LME1708,32274,31784,98.48,490,1.52,0,0,27421
LME1714,31334,31334,100.0,0,0.0,63,9,26853
