Taxonomic_rank,Taxon,ASVs,Reads,Review_status,Notes
GENUS,Rubus,127,414601,,
CLASS,Magnoliopsida,66,30470,,
UNASSIGNED,Unassigned,162,23191,,
GENUS,Viola,3,3979,,
FAMILY,Brassicaceae,12,3319,,
GENUS,Fragaria,11,2291,,
GENUS,Clematis,5,1214,,
FAMILY,Rosaceae,17,990,,
FAMILY,Asteraceae,5,896,,
GENUS,Rosa,2,802,,
GENUS,Sorbus,9,333,,
GENUS,Solidago,2,264,,
GENUS,Aremonia,2,236,,
FAMILY,Ranunculaceae,4,195,,
GENUS,Salix,2,186,,
FAMILY,Fabaceae,1,179,,
GENUS,Corylus,5,122,,
GENUS,Hedera,4,94,,
SPECIES,Veronica officinalis,1,93,,
ORDER,Lamiales,2,62,,
FAMILY,Apiaceae,3,59,,
GENUS,Lamium,3,56,,
SPECIES,Genista tinctoria,1,46,,
GENUS,Fraxinus,2,41,,
SPECIES,Staphylea pinnata,1,40,,
GENUS,Teucrium,1,34,,
SPECIES,Fraxinus ornus,1,31,,
FAMILY,Boraginaceae,6,29,,
SPECIES,Veronica montana,1,29,,
GENUS,Quercus,3,24,,
GENUS,Omphalodes,3,21,,
SPECIES,Mercurialis perennis,1,19,,
FAMILY,Campanulaceae,1,17,,
GENUS,Prunus,2,17,,
FAMILY,Plantaginaceae,1,15,,
SPECIES,Fraxinus excelsior,1,14,,
GENUS,Aconitum,1,12,,
ORDER,Saxifragales,1,11,,
FAMILY,Ulmaceae,1,7,,
GENUS,Crataegus,1,7,,
FAMILY,Araliaceae,1,6,,
ORDER,Asterales,1,5,,
GENUS,Pulmonaria,1,5,,
FAMILY,Violaceae,1,4,,
GENUS,Ulmus,1,4,,
ORDER,Rosales,1,3,,
FAMILY,Betulaceae,1,2,,
FAMILY,Fagaceae,1,2,,
