ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV101,274,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV102,274,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1026,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1037,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV104,271,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV107,248,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV109,246,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV114,236,186,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1146,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV115,235,126,0,0,0,65,0,0,0,0,0,0,0,0,44,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1178,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
