,reads.in,reads.out,percent_retained
LME1636_R1.fq.gz,51629,48279,93.51
LME1637_R1.fq.gz,23315,17164,73.62
LME1656_R1.fq.gz,71557,66063,92.32
LME1663_R1.fq.gz,26695,13334,49.95
LME1668_R1.fq.gz,46256,42683,92.28
LME1670_R1.fq.gz,54932,51084,92.99
LME1679_R1.fq.gz,41857,38952,93.06
LME1689_R1.fq.gz,29356,25005,85.18
LME1692_R1.fq.gz,37868,34513,91.14
LME1695_R1.fq.gz,43437,40446,93.11
LME1698_R1.fq.gz,51536,47715,92.59
LME1701_R1.fq.gz,53498,49420,92.38
LME1702_R1.fq.gz,55819,51280,91.87
LME1705_R1.fq.gz,64549,59737,92.55
LME1708_R1.fq.gz,55944,51940,92.84
LME1714_R1.fq.gz,41892,37926,90.53
