OTU_ID	Genus	Confidence	Best_ID_percent	Slovenia_status
OTU_1	Rubus	99.33	100.0	KEEP - genus present in Slovenia
OTU_3	Viola	98.72	100.0	KEEP - genus present in Slovenia
OTU_5	Fragaria	100.0	99.76	KEEP - genus present in Slovenia
OTU_6	Clematis	99.48	100.0	KEEP - genus present in Slovenia
OTU_8	Rosa	99.33	100.0	KEEP - genus present in Slovenia
OTU_10	Rubus	99.48	99.54	KEEP - genus present in Slovenia
OTU_13	Rubus	98.66	100.0	KEEP - genus present in Slovenia
OTU_16	Solidago	96.17	100.0	KEEP - genus present in Slovenia
OTU_18	Rubus	100.0	96.8	KEEP - genus present in Slovenia
OTU_19	Sorbus	99.49	100.0	KEEP - genus present in Slovenia
OTU_21	Salix	100.0	100.0	KEEP - genus present in Slovenia
OTU_27	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_28	Rubus	99.85	100.0	KEEP - genus present in Slovenia
OTU_30	Hedera	100.0	97.89	KEEP - genus present in Slovenia
OTU_34	Rubus	100.0	96.26	KEEP - genus present in Slovenia
OTU_36	Lamium	84.44	99.1	KEEP - genus present in Slovenia
OTU_37	Rubus	97.66	99.07	KEEP - genus present in Slovenia
OTU_38	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_40	Sorbus	96.35	100.0	KEEP - genus present in Slovenia
OTU_41	Teucrium	86.07	100.0	KEEP - genus present in Slovenia
OTU_43	Fraxinus	96.0	100.0	KEEP - genus present in Slovenia
OTU_47	Hedera	92.89	99.56	KEEP - genus present in Slovenia
OTU_49	Rubus	100.0	99.6	KEEP - genus present in Slovenia
OTU_52	Rubus	99.57	98.93	KEEP - genus present in Slovenia
OTU_53	Rubus	99.62	99.37	KEEP - genus present in Slovenia
OTU_54	Rubus	98.48	100.0	KEEP - genus present in Slovenia
OTU_57	Rubus	100.0	96.97	KEEP - genus present in Slovenia
OTU_59	Omphalodes	98.12	99.34	KEEP - genus present in Slovenia
OTU_60	Rubus	99.63	98.78	KEEP - genus present in Slovenia
OTU_61	Quercus	99.88	98.93	KEEP - genus present in Slovenia
OTU_64	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_66	Prunus	98.28	100.0	KEEP - genus present in Slovenia
OTU_78	Rubus	100.0	98.93	KEEP - genus present in Slovenia
OTU_82	Crataegus	98.12	99.77	KEEP - genus present in Slovenia
OTU_85	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_86	Prunus	96.81	99.77	KEEP - genus present in Slovenia
OTU_89	Omphalodes	98.25	99.34	KEEP - genus present in Slovenia
OTU_90	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_91	Corylus	98.3	99.58	KEEP - genus present in Slovenia
OTU_94	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_98	Pulmonaria	85.71	99.75	KEEP - genus present in Slovenia
OTU_100	Rubus	100.0	99.42	KEEP - genus present in Slovenia
OTU_103	Rubus	100.0	97.24	KEEP - genus present in Slovenia
OTU_105	Rubus	90.32	100.0	KEEP - genus present in Slovenia
OTU_109	Rubus	100.0	100.0	KEEP - genus present in Slovenia
OTU_110	Viola	96.53	99.19	KEEP - genus present in Slovenia
OTU_113	Rubus	100.0	99.75	KEEP - genus present in Slovenia
OTU_114	Rubus	100.0	99.4	KEEP - genus present in Slovenia
OTU_115	Rubus	100.0	98.77	KEEP - genus present in Slovenia
OTU_118	Rubus	99.29	99.59	KEEP - genus present in Slovenia
OTU_119	Rubus	99.06	99.7	KEEP - genus present in Slovenia
OTU_122	Corylus	100.0	98.0	KEEP - genus present in Slovenia
OTU_125	Rubus	100.0	99.02	KEEP - genus present in Slovenia
OTU_127	Rubus	100.0	100.0	KEEP - genus present in Slovenia
