Species	NCBI_ITS2_records	NCBI_status
Abies koreana	5	FOUND
Acalypha virginica	1	FOUND
Acaulon muticum	0	NOT_FOUND
Acer ginnala	16	FOUND
Acer hyrcanum	10	FOUND
Acer monspessulanum	169	FOUND
Acer obtusatum	15	FOUND
Acetabularia acetabulum	1	FOUND
Achillea clavenae	0	NOT_FOUND
Achillea stricta	0	NOT_FOUND
Acinos alpinus	7	FOUND
Acinos arvensis	9	FOUND
Aconitum angustifolium	0	NOT_FOUND
Aconitum anthora	1	FOUND
Aconitum cymbulatum	1	FOUND
Aconitum degenii	5	FOUND
Aconitum lupicida	0	NOT_FOUND
Aconitum tauricum	2	FOUND
Aconitum vitosanum	0	NOT_FOUND
Acrochaetium subpinnatum	0	NOT_FOUND
Acrosymphyton purpuriferum	0	NOT_FOUND
Actinotaenium palangula	0	NOT_FOUND
Actinotaenium rufescens	0	NOT_FOUND
Adenostyles glabra	0	NOT_FOUND
Adiantum capillus-veneris	0	NOT_FOUND
Adonis aestivalis	4	FOUND
Adonis flammea	2	FOUND
Adonis microcarpa	1	FOUND
Aegilops geniculata	6	FOUND
Aethionema saxatile	3	FOUND
Agrostis agrostiflora	1	FOUND
Agrostis alpina	2	FOUND
Agrostis rupestris	2	FOUND
Agrostis tenuis	39	FOUND
Alcea biennis	2	FOUND
Alchemilla acutata	0	NOT_FOUND
Alchemilla carniolica	0	NOT_FOUND
Alchemilla cinerea	0	NOT_FOUND
Alchemilla connivens	0	NOT_FOUND
Alchemilla exigua	0	NOT_FOUND
Alchemilla gracillima	0	NOT_FOUND
Alchemilla illyrica	0	NOT_FOUND
Alchemilla lineata	0	NOT_FOUND
Alchemilla obtusa	0	NOT_FOUND
Alchemilla sericoneura	0	NOT_FOUND
Alchemilla straminea	0	NOT_FOUND
Alchemilla strigosula	0	NOT_FOUND
Alchemilla tirolensis	0	NOT_FOUND
Alchemilla undulata	0	NOT_FOUND
Alchemilla velebitica	0	NOT_FOUND
Allium amethystinum	0	NOT_FOUND
Allium carinatum	25	FOUND
Allium kermesinum	1	FOUND
Aloina aloides	1	FOUND
Aloina ambigua	1	FOUND
Alopecurus rendlei	0	NOT_FOUND
Alsidium corallinum	0	NOT_FOUND
Althaea cannabina	3	FOUND
Althaea taurinensis	0	NOT_FOUND
Alyssum wulfenianum	20	FOUND
Amaranthus bouchonii	1	FOUND
Amaranthus lividus	3	FOUND
Ambrosia coronopifolia	0	NOT_FOUND
Amelanchier lamarckii	0	NOT_FOUND
Amelanchier ovalis	9	FOUND
Amphiroa rigida	0	NOT_FOUND
Anacamptis palustris	10	FOUND
Anacamptis papilionacea	3	FOUND
Anadyomene stellata	0	NOT_FOUND
Anagallis foemina	8	FOUND
Anchusa officinalis	7	FOUND
Andreaea alpestris	0	NOT_FOUND
Androsace hausmannii	2	FOUND
Androsace helvetica	2	FOUND
Androsace lactea	2	FOUND
Androsace villosa	2	FOUND
Anemonastrum narcissiflorum	18	FOUND
Anemone baldensis	19	FOUND
Anemone hortensis	2	FOUND
Anemone sylvestris	11	FOUND
Anemone trifolia	1	FOUND
