Vrsta	Species_binomial	Genus	Statusi	BOLD_ITS2_status
Abies alba Mill.	Abies alba	Abies		MATCHED
Abies cephalonica Loudon	Abies cephalonica	Abies		MATCHED
Abies concolor (Gordon) Lindley ex Hildebrand	Abies concolor	Abies		MATCHED
Abies grandis (Douglas ex. D. Don) Lindley	Abies grandis	Abies		MATCHED
Abies nordmanniana Spach	Abies nordmanniana	Abies		MATCHED
Abies pinsapo Boiss.	Abies pinsapo	Abies		MATCHED
Abietinella abietina (Hedw.) M. Fleisch.	Abietinella abietina	Abietinella		MATCHED
Abutilon theophrasti Medik.	Abutilon theophrasti	Abutilon		MATCHED
Acer campestre L.	Acer campestre	Acer		MATCHED
Acer japonicum Thunb.	Acer japonicum	Acer		MATCHED
Acer negundo L.	Acer negundo	Acer		MATCHED
Acer palmatum Thunb.	Acer palmatum	Acer		MATCHED
Acer platanoides L.	Acer platanoides	Acer		MATCHED
Acer pseudoplatanus L.	Acer pseudoplatanus	Acer		MATCHED
Acer saccharinum L.	Acer saccharinum	Acer		MATCHED
Acer tataricum L.	Acer tataricum	Acer	14	MATCHED
Achillea aspleniifolia Vent.	Achillea aspleniifolia	Achillea	17	MATCHED
Achillea atrata L.	Achillea atrata	Achillea		MATCHED
Achillea collina Becker ex Rchb.	Achillea collina	Achillea		MATCHED
Achillea distans Willd.	Achillea distans	Achillea		MATCHED
Achillea millefolium L.	Achillea millefolium	Achillea		MATCHED
Achillea nobilis L.	Achillea nobilis	Achillea		MATCHED
Achillea pannonica Scheele	Achillea pannonica	Achillea		MATCHED
Achillea ptarmica L.	Achillea ptarmica	Achillea		MATCHED
Achillea roseoalba Ehrend.	Achillea roseoalba	Achillea		MATCHED
Achillea setacea Waldst. &amp; Kit.	Achillea setacea	Achillea		MATCHED
Achillea virescens (Fenzl) Heimerl	Achillea virescens	Achillea		MATCHED
Achnatherum bromoides (L.) P. Beauv.	Achnatherum bromoides	Achnatherum	14	MATCHED
Achnatherum calamagrostis (L.) P. Beauv.	Achnatherum calamagrostis	Achnatherum		MATCHED
Aconitum lycoctonum L.	Aconitum lycoctonum	Aconitum		MATCHED
Aconitum napellus L. [s.l.]	Aconitum napellus	Aconitum		MATCHED
Aconitum variegatum L.	Aconitum variegatum	Aconitum		MATCHED
Acorus calamus L.	Acorus calamus	Acorus		MATCHED
Actaea spicata L.	Actaea spicata	Actaea		MATCHED
Actinidia arguta (Siebold &amp; Zucc.) Planch. ex Miq.	Actinidia arguta	Actinidia		MATCHED
Actinidia chinensis Planch.	Actinidia chinensis	Actinidia		MATCHED
Adenophora liliifolia (L.) DC.	Adenophora liliifolia	Adenophora	7, 8, 12, 25, 27, 34, 50	MATCHED
Adenostyles alliariae (Gouan) Kern.	Adenostyles alliariae	Adenostyles		MATCHED
Adonis annua L.	Adonis annua	Adonis		MATCHED
Adoxa moschatellina L.	Adoxa moschatellina	Adoxa		MATCHED
Aegagropila linnaei Kützing, 1843	Aegagropila linnaei	Aegagropila		MATCHED
Aegilops cylindrica Host	Aegilops cylindrica	Aegilops		MATCHED
Aegilops neglecta Bertol.	Aegilops neglecta	Aegilops		MATCHED
Aegilops triuncialis L.	Aegilops triuncialis	Aegilops	14	MATCHED
Aegopodium podagraria L.	Aegopodium podagraria	Aegopodium		MATCHED
Aesculus flava Sol.	Aesculus flava	Aesculus		MATCHED
Aesculus hippocastanum L.	Aesculus hippocastanum	Aesculus		MATCHED
Aesculus parviflora Walter	Aesculus parviflora	Aesculus		MATCHED
Aesculus pavia L.	Aesculus pavia	Aesculus		MATCHED
Aesculus turbinata Blume	Aesculus turbinata	Aesculus		MATCHED
Aethusa cynapium L. [s.l.]	Aethusa cynapium	Aethusa		MATCHED
Agrimonia eupatoria L.	Agrimonia eupatoria	Agrimonia		MATCHED
Agrimonia procera Wallr.	Agrimonia procera	Agrimonia	13	MATCHED
Agrostemma githago L.	Agrostemma githago	Agrostemma	13	MATCHED
Agrostis canina L.	Agrostis canina	Agrostis		MATCHED
Agrostis castellana Boiss. &amp; Reut. [s.l.]	Agrostis castellana	Agrostis		MATCHED
Agrostis gigantea Roth	Agrostis gigantea	Agrostis		MATCHED
Agrostis stolonifera L.	Agrostis stolonifera	Agrostis		MATCHED
Agrostis vinealis Schreb.	Agrostis vinealis	Agrostis		MATCHED
Ailanthus altissima (Mill.) Swingle	Ailanthus altissima	Ailanthus	5	MATCHED
Aira caryophyllea L.	Aira caryophyllea	Aira	14	MATCHED
Aira elegantissima Schur	Aira elegantissima	Aira		MATCHED
Ajuga chamaepitys (L.) Schreb.	Ajuga chamaepitys	Ajuga		MATCHED
Ajuga genevensis L.	Ajuga genevensis	Ajuga		MATCHED
Ajuga pyramidalis L.	Ajuga pyramidalis	Ajuga		MATCHED
Ajuga reptans L.	Ajuga reptans	Ajuga		MATCHED
Akebia quinata (Houtt.) Dcne.	Akebia quinata	Akebia		MATCHED
Albizia julibrissin (Willd.) Durazz.	Albizia julibrissin	Albizia		MATCHED
Alcea rosea L.	Alcea rosea	Alcea		MATCHED
Alchemilla colorata Buser	Alchemilla colorata	Alchemilla		MATCHED
Alchemilla crinita Buser	Alchemilla crinita	Alchemilla		MATCHED
Alchemilla cymatophylla Juz.	Alchemilla cymatophylla	Alchemilla		MATCHED
Alchemilla decumbens Buser	Alchemilla decumbens	Alchemilla		MATCHED
Alchemilla fallax Buser	Alchemilla fallax	Alchemilla		MATCHED
Alchemilla fissa Günther &amp; Schummel	Alchemilla fissa	Alchemilla		MATCHED
Alchemilla flabellata Buser	Alchemilla flabellata	Alchemilla		MATCHED
Alchemilla glabra Neygenf.	Alchemilla glabra	Alchemilla		MATCHED
Alchemilla glaucescens Wallr.	Alchemilla glaucescens	Alchemilla		MATCHED
Alchemilla glomerulans Buser	Alchemilla glomerulans	Alchemilla		MATCHED
Alchemilla micans Buser	Alchemilla micans	Alchemilla		MATCHED
Alchemilla monticola Opiz	Alchemilla monticola	Alchemilla		MATCHED
Alchemilla subcrenata Buser	Alchemilla subcrenata	Alchemilla		MATCHED
Alchemilla vulgaris L.	Alchemilla vulgaris	Alchemilla		MATCHED
Alchemilla xanthochlora Rothm.	Alchemilla xanthochlora	Alchemilla		MATCHED
Alisma gramineum Lej.	Alisma gramineum	Alisma	13	MATCHED
Alisma lanceolatum With.	Alisma lanceolatum	Alisma	13	MATCHED
Alisma plantago-aquatica L.	Alisma plantago-aquatica	Alisma		MATCHED
Alleniella besseri (Lobarz.) S. Olsson, Enroth &amp; D. Quandt	Alleniella besseri	Alleniella		MATCHED
Alleniella complanata (Hedw.) S. Olsson, Enroth &amp; D. Quandt	Alleniella complanata	Alleniella		MATCHED
Alliaria petiolata (M. Bieb.) Cavara &amp; Grande	Alliaria petiolata	Alliaria		MATCHED
Allium ampeloprasum L.	Allium ampeloprasum	Allium		MATCHED
Allium angulosum L.	Allium angulosum	Allium	13	MATCHED
Allium cepa L.	Allium cepa	Allium		MATCHED
Allium ericetorum Thore	Allium ericetorum	Allium		MATCHED
Allium lusitanicum Lam.	Allium lusitanicum	Allium		MATCHED
Allium neapolitanum Cirillo	Allium neapolitanum	Allium	13	MATCHED
Allium oleraceum L.	Allium oleraceum	Allium		MATCHED
Allium paniculatum L. [s.l.]	Allium paniculatum	Allium		MATCHED
Allium roseum L.	Allium roseum	Allium		MATCHED
Allium sativum L.	Allium sativum	Allium		MATCHED
Allium saxatile M. Bieb.	Allium saxatile	Allium		MATCHED
Allium schoenoprasum L. [s.l.]	Allium schoenoprasum	Allium		MATCHED
Allium scorodoprasum L. [s.l.]	Allium scorodoprasum	Allium		MATCHED
Allium senescens L.	Allium senescens	Allium		MATCHED
Allium sphaerocephalon L.	Allium sphaerocephalon	Allium		MATCHED
Allium suaveolens Jacq.	Allium suaveolens	Allium		MATCHED
Allium ursinum L.	Allium ursinum	Allium		MATCHED
Allium victorialis L.	Allium victorialis	Allium		MATCHED
