Vrsta	Species_binomial	Genus	Statusi	BOLD_ITS2_status
Abies koreana E.H. Wilson	Abies koreana	Abies		NOT_MATCHED
Acalypha virginica L.	Acalypha virginica	Acalypha		NOT_MATCHED
Acaulon muticum (Hedw.) Müll. Hal.	Acaulon muticum	Acaulon	14	NOT_MATCHED
Acer ginnala Maxim.	Acer ginnala	Acer		NOT_MATCHED
Acer hyrcanum Fisch. &amp; Mey.	Acer hyrcanum	Acer		NOT_MATCHED
Acer monspessulanum L.	Acer monspessulanum	Acer		NOT_MATCHED
Acer obtusatum Waldst. &amp; Kit. ex Willd.	Acer obtusatum	Acer		NOT_MATCHED
Acetabularia acetabulum (Linnaeus) P.C. Silva, 1952	Acetabularia acetabulum	Acetabularia		NOT_MATCHED
Achillea clavenae L.	Achillea clavenae	Achillea		NOT_MATCHED
Achillea stricta (Koch) Schleich. ex Gremli	Achillea stricta	Achillea		NOT_MATCHED
Acinos alpinus (L.) Moench	Acinos alpinus	Acinos		NOT_MATCHED
Acinos arvensis (Lam.) Dandy [s.l.]	Acinos arvensis	Acinos		NOT_MATCHED
Aconitum angustifolium Bernh. ex Rchb.	Aconitum angustifolium	Aconitum		NOT_MATCHED
Aconitum anthora L.	Aconitum anthora	Aconitum	14	NOT_MATCHED
Aconitum cymbulatum (Schmalhausen) Lipsky	Aconitum cymbulatum	Aconitum		NOT_MATCHED
Aconitum degenii Gáyer	Aconitum degenii	Aconitum		NOT_MATCHED
Aconitum lupicida Rchb.	Aconitum lupicida	Aconitum		NOT_MATCHED
Aconitum tauricum Wulfen	Aconitum tauricum	Aconitum		NOT_MATCHED
Aconitum vitosanum Gáyer	Aconitum vitosanum	Aconitum		NOT_MATCHED
Acrochaetium subpinnatum Bornet ex Hamel, 1927	Acrochaetium subpinnatum	Acrochaetium		NOT_MATCHED
Acrosymphyton purpuriferum (J. Agardh) G. Sjöstedt, 1926	Acrosymphyton purpuriferum	Acrosymphyton		NOT_MATCHED
Actinotaenium palangula (Brébisson ex Ralfs) Teiling, 1954	Actinotaenium palangula	Actinotaenium		NOT_MATCHED
Actinotaenium rufescens (Cleve) Teiling, 1954	Actinotaenium rufescens	Actinotaenium		NOT_MATCHED
Adenostyles glabra (Mill.) DC.	Adenostyles glabra	Adenostyles		NOT_MATCHED
Adiantum capillus-veneris L.	Adiantum capillus-veneris	Adiantum	13, 25, 27	NOT_MATCHED
Adonis aestivalis L.	Adonis aestivalis	Adonis	12	NOT_MATCHED
Adonis flammea Jacq.	Adonis flammea	Adonis	12	NOT_MATCHED
Adonis microcarpa DC.	Adonis microcarpa	Adonis		NOT_MATCHED
Aegilops geniculata Roth	Aegilops geniculata	Aegilops		NOT_MATCHED
Aethionema saxatile (L.) R. Br.	Aethionema saxatile	Aethionema		NOT_MATCHED
Agrostis agrostiflora (Beck) Rauschert	Agrostis agrostiflora	Agrostis	14	NOT_MATCHED
Agrostis alpina Scop.	Agrostis alpina	Agrostis		NOT_MATCHED
Agrostis rupestris All.	Agrostis rupestris	Agrostis		NOT_MATCHED
Agrostis tenuis Sibth.	Agrostis tenuis	Agrostis		NOT_MATCHED
Alcea biennis Winterl	Alcea biennis	Alcea		NOT_MATCHED
Alchemilla acutata Buser	Alchemilla acutata	Alchemilla		NOT_MATCHED
Alchemilla carniolica (Paulin) Fritsch	Alchemilla carniolica	Alchemilla		NOT_MATCHED
Alchemilla cinerea Buser	Alchemilla cinerea	Alchemilla		NOT_MATCHED
Alchemilla connivens Buser	Alchemilla connivens	Alchemilla		NOT_MATCHED
Alchemilla exigua Buser	Alchemilla exigua	Alchemilla		NOT_MATCHED
Alchemilla gracillima Rothm.	Alchemilla gracillima	Alchemilla		NOT_MATCHED
Alchemilla illyrica Rothm.	Alchemilla illyrica	Alchemilla		NOT_MATCHED
Alchemilla lineata Buser	Alchemilla lineata	Alchemilla		NOT_MATCHED
Alchemilla obtusa Buser	Alchemilla obtusa	Alchemilla		NOT_MATCHED
Alchemilla sericoneura Buser	Alchemilla sericoneura	Alchemilla		NOT_MATCHED
Alchemilla straminea Buser	Alchemilla straminea	Alchemilla		NOT_MATCHED
Alchemilla strigosula Buser	Alchemilla strigosula	Alchemilla		NOT_MATCHED
Alchemilla tirolensis Buser ex Dalla Torre &amp; Sarnth.	Alchemilla tirolensis	Alchemilla		NOT_MATCHED
Alchemilla undulata Buser	Alchemilla undulata	Alchemilla		NOT_MATCHED
Alchemilla velebitica Borbás	Alchemilla velebitica	Alchemilla		NOT_MATCHED
Allium amethystinum L.	Allium amethystinum	Allium		NOT_MATCHED
Allium carinatum L. [s.l.]	Allium carinatum	Allium		NOT_MATCHED
Allium kermesinum Rchb.	Allium kermesinum	Allium		NOT_MATCHED
Aloina aloides (Schultz) Kindb.	Aloina aloides	Aloina	12	NOT_MATCHED
Aloina ambigua (Bruch &amp; Schimp.) Limpr.	Aloina ambigua	Aloina	14	NOT_MATCHED
Alopecurus rendlei Eig	Alopecurus rendlei	Alopecurus	14	NOT_MATCHED
Alsidium corallinum C. Agardh, 1827	Alsidium corallinum	Alsidium		NOT_MATCHED
Althaea cannabina L.	Althaea cannabina	Althaea		NOT_MATCHED
Althaea taurinensis DC.	Althaea taurinensis	Althaea		NOT_MATCHED
Alyssum wulfenianum Bernh	Alyssum wulfenianum	Alyssum		NOT_MATCHED
Amaranthus bouchonii Thell.	Amaranthus bouchonii	Amaranthus		NOT_MATCHED
