ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1,213803,9485,5117,15573,5881,15253,9213,7455,2036,0,16655,24710,23995,21726,24967,16183,15554,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.33,98,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus fruticosus agg.;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV100,275,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.55,79,99.77,100,Rosaceae,Rubus,Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV1014,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,6,97.24,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
ASV1017,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.59,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV1028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,90.32,85,100.00,100,Betulaceae,Corylus,Corylus avellana;Corylus cornuta,NO,NO,YES,Assigned
ASV1031,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,FAMILY,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,,,,97.62,12,94.24,100,Violaceae,Viola,Viola adunca,NO,NO,NO,Assigned
ASV1032,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,SUBFAMILY,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apioideae,,,100.0,5,98.86,100,Apiaceae,Meum,Meum athamanticum,NO,NO,NO,Assigned
ASV1033,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,99.78,100,Euphorbiaceae,Mercurialis,Mercurialis perennis,NO,NO,NO,Assigned
ASV1035,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.31,95,100.00,100,Asteraceae;Rosaceae;Sapindaceae,Acer;Dittrichia;Rubus,Acer pseudoplatanus;Dittrichia viscosa;Rubus aff. adenotrichos PGGS-2007;Rubus allegheniensis;Rubus arcticus;Rubus caesius;Rubus canadensis;Rubus chroosepalus;Rubus ellipticus;Rubus hispidus;Rubus pensilvanicus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus;Rubus ursinus,YES,YES,YES,Assigned
ASV1040,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,Omphalodes,,98.2,6,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV1041,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,75.57,22,97.26,100,Cucurbitaceae,Thladiantha,Thladiantha cordifolia,NO,NO,NO,Low-confidence
ASV105,262,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.54,78,99.77,100,Rosaceae,Rubus,Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV1053,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,99.75,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1057,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,35,99.40,100,Rosaceae,Rubus,Rubus laciniatus;Rubus vestitus,NO,NO,YES,Assigned
ASV1058,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,26,98.77,100,Rosaceae,Rubus,Rubus urticifolius,NO,NO,NO,Assigned
ASV1060,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.45,37,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1061,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,,84.45,84,100.00,100,Asteraceae,Carlina;Cirsium;Saussurea,Carlina vulgaris;Cirsium acaule;Cirsium oleraceum;Saussurea alpina;Saussurea angustifolia,NO,YES,YES,Assigned
ASV1064,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.87,27,98.91,100,Rosaceae,Rubus,Rubus pensilvanicus,NO,NO,NO,Assigned
ASV1066,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,78.97,65,100.00,100,Boraginaceae;Orobanchaceae,Castilleja;Eritrichium;Hackelia;Lycopsis;Mertensia;Myosotis;Pentaglottis,Castilleja yukonis;Eritrichium splendens;Hackelia micrantha;Lycopsis arvensis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata;Myosotis alpestris;Myosotis arvensis;Myosotis laxa;Myosotis ramosissima;Myosotis scorpioides;Myosotis stolonifera;Myosotis sylvatica;Pentaglottis sempervirens,YES,YES,YES,Low-confidence
ASV1068,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,ORDER,Tracheophyta,Magnoliopsida,Rosales,,,,,74.14,74,97.86,100,Boraginaceae,Symphytum,Symphytum tuberosum,NO,NO,NO,Low-confidence
ASV1072,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.29,93,99.59,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV1086,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.06,69,99.70,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV1087,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,100.0,85,99.67,100,Brassicaceae,Cardamine,Cardamine microphylla,NO,NO,NO,Assigned
ASV1089,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,100.00,100,Orobanchaceae,Lathraea,Lathraea squamaria,NO,NO,NO,Assigned
