Query ID,Tree,Tax Rank,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,Confidence,Supporting Recs
ASV1053, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV1123, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV1137, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV1104, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,95
ASV1033, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV1089, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV1157, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV117, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,88
ASV130, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,88
ASV1087, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,100.0,85
ASV1160, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,73
ASV1057, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,35
ASV155, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,35
ASV1058, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,26
ASV1153, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,12
ASV1114, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,100.0,10
