ASV,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1053,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,99.75,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1123,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,99.02,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus allegheniensis;Rubus arrheniiformis;Rubus bertramii;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canadensis;Rubus caninitergi;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus divaricatus;Rubus edeesii;Rubus eglandulosus;Rubus eifeliensis;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foliosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus leucandrus;Rubus lindebergii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus oreades;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus scissoides;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1137,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adspersus;Rubus amisiensis;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus campaniensis;Rubus canescens;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus deweveri;Rubus divaricatus;Rubus eglandulosus;Rubus eifeliensis;Rubus elegantispinosus;Rubus favillatus;Rubus flagellaris;Rubus frederici;Rubus fruticosus agg.;Rubus genevieri;Rubus gloriosus;Rubus hispidus;Rubus insectifolius;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus leucandrus;Rubus longior;Rubus montanus;Rubus mucronipetalus;Rubus neanias;Rubus nelliae;Rubus nemoripatens;Rubus nitidiformis;Rubus opacus;Rubus paludosus;Rubus passionis;Rubus planus;Rubus plicatus;Rubus poliothyrsus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus sp. Glandulosi MS-2014b;Rubus sp. MS-2014a;Rubus sp. MS-2014i;Rubus sp. MS-2014k;Rubus spina-curva;Rubus splendidus;Rubus sprengelii;Rubus stereacanthos;Rubus tubanticus;Rubus ulmifolius;Rubus ursinus;Rubus urticifolius;Rubus vulgaris;Rubus winteri,NO,NO,YES,Assigned
ASV1104,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,95,99.43,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV1033,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,99.78,100,Euphorbiaceae,Mercurialis,Mercurialis perennis,NO,NO,NO,Assigned
ASV1089,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,100.00,100,Orobanchaceae,Lathraea,Lathraea squamaria,NO,NO,NO,Assigned
ASV1157,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,99.29,100,Cucurbitaceae,Sicyos,Sicyos baderoa,NO,NO,NO,Assigned
ASV117,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,88,100.00,100,Ranunculaceae,Hepatica,Hepatica nobilis,NO,NO,NO,Assigned
ASV130,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,88,99.02,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV1087,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,100.0,85,99.67,100,Brassicaceae,Cardamine,Cardamine microphylla,NO,NO,NO,Assigned
ASV1160,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,73,99.31,100,Oxalidaceae,Oxalis,Oxalis acetosella,NO,NO,NO,Assigned
ASV1057,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,35,99.40,100,Rosaceae,Rubus,Rubus laciniatus;Rubus vestitus,NO,NO,YES,Assigned
ASV155,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,35,96.80,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1058,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,26,98.77,100,Rosaceae,Rubus,Rubus urticifolius,NO,NO,NO,Assigned
ASV1153,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,12,97.71,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1114,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,100.0,10,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,NO,NO,YES,Assigned
ASV1090,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,100.0,8,98.00,100,,,,NO,NO,NO,Assigned
ASV1190,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,100.0,8,98.00,100,,,,NO,NO,NO,Assigned
ASV1014,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,6,97.24,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
ASV1032,SUBFAMILY,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apioideae,,,100.0,5,98.86,100,Apiaceae,Meum,Meum athamanticum,NO,NO,NO,Assigned
ASV123,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Aremonia,,100.0,1,100.00,100,Rosaceae,Aremonia,Aremonia agrimonioides,NO,NO,NO,Assigned
ASV1337,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.99,26,98.62,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
