"Sample","Merged","Non_chimeric","Percent_retained"
"LME1634",12260,12063,98.39
"LME1635",12353,12328,99.8
"LME1636",9628,8180,84.96
"LME1637",10084,10053,99.69
"LME1646",16835,15538,92.3
"LME1652",12002,11864,98.85
"LME1656",13304,12899,96.96
"LME1663",17958,16055,89.4
"LME1668",18002,17204,95.57
"LME1670",16620,16536,99.49
"LME1679",11488,9969,86.78
"LME1689",5840,5840,100
"LME1692",10293,10162,98.73
"LME1695",13776,13705,99.48
"LME1698",12479,12217,97.9
"LME1701",13282,13028,98.09
"LME1702",12002,11942,99.5
"LME1705",12439,12367,99.42
"LME1708",11127,8832,79.37
"LME1714",5868,5868,100
