"Sample","Input","Quality_filtered","Denoised_R1","Denoised_R2","Merged","Non_chimeric","UNCROSS2_filtered","Contaminant_filtered"
"LME1634",14479,12993,12933,12944,12260,12063,12063,NA
"LME1635",14170,12631,12574,12618,12353,12328,12328,NA
"LME1636",12520,10380,10344,10293,9628,8180,8180,NA
"LME1637",13517,10751,10638,10699,10084,10053,10053,NA
"LME1646",19448,17131,17095,17069,16835,15538,15538,NA
"LME1652",13635,12079,12054,12048,12002,11864,11861,NA
"LME1656",15268,13688,13637,13623,13304,12899,12899,NA
"LME1663",20879,18357,18288,18272,17958,16055,16055,NA
"LME1668",20507,18448,18373,18415,18002,17204,17204,NA
"LME1670",18825,16834,16800,16771,16620,16536,16536,NA
"LME1679",14085,12498,12484,12445,11488,9969,9969,NA
"LME1689",11891,6175,6129,6142,5840,5840,5840,NA
"LME1692",13198,10709,10688,10489,10293,10162,10162,NA
"LME1695",15962,14053,14017,14019,13776,13705,13705,NA
"LME1698",14177,12643,12605,12604,12479,12217,12217,NA
"LME1701",15234,13502,13460,13445,13282,13028,13028,NA
"LME1702",13605,12148,12114,12114,12002,11942,11942,NA
"LME1705",14353,12781,12770,12481,12439,12367,12367,NA
"LME1708",13644,11839,11807,11706,11127,8832,8832,NA
"LME1714",12181,6340,6198,6239,5868,5868,5868,NA
