Sample,Input,Quality_filtered,Denoised_R1,Denoised_R2,Merged,Non_chimeric,UNCROSS2_filtered,Contaminant_filtered,Plant_target_after_taxonomy,Non_target_removed_after_taxonomy
LME1634,14479,12993,12933,12944,12260,12063,12063,NA,12063,0
LME1635,14170,12631,12574,12618,12353,12328,12328,NA,12328,0
LME1636,12520,10380,10344,10293,9628,8180,8180,NA,8180,0
LME1637,13517,10751,10638,10699,10084,10053,10053,NA,10053,0
LME1646,19448,17131,17095,17069,16835,15538,15538,NA,15538,0
LME1652,13635,12079,12054,12048,12002,11864,11861,NA,11861,0
LME1656,15268,13688,13637,13623,13304,12899,12899,NA,12899,0
LME1663,20879,18357,18288,18272,17958,16055,16055,NA,16055,0
LME1668,20507,18448,18373,18415,18002,17204,17204,NA,17204,0
LME1670,18825,16834,16800,16771,16620,16536,16536,NA,16536,0
LME1679,14085,12498,12484,12445,11488,9969,9969,NA,9969,0
LME1689,11891,6175,6129,6142,5840,5840,5840,NA,5840,0
LME1692,13198,10709,10688,10489,10293,10162,10162,NA,10162,0
LME1695,15962,14053,14017,14019,13776,13705,13705,NA,13705,0
LME1698,14177,12643,12605,12604,12479,12217,12217,NA,12217,0
LME1701,15234,13502,13460,13445,13282,13028,13028,NA,13028,0
LME1702,13605,12148,12114,12114,12002,11942,11942,NA,11942,0
LME1705,14353,12781,12770,12481,12439,12367,12367,NA,12367,0
LME1708,13644,11839,11807,11706,11127,8832,8832,NA,8832,0
LME1714,12181,6340,6198,6239,5868,5868,5868,NA,5868,0
