ASV,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV1,0,0,0,0,0,0,0,0,0,12996,0,0,0,0,0,0,0,0,0,0
ASV10,0,0,0,0,0,0,0,0,0,0,0,0,6151,0,0,0,0,0,0,0
ASV102,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0
ASV103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0
ASV104,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV106,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV107,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0,6049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV110,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0
ASV111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0
ASV112,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0
ASV115,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0
ASV117,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0
ASV118,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0
ASV12,5709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV120,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0
ASV121,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0
ASV123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
ASV124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0
ASV126,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV129,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV13,0,0,0,0,0,0,0,0,5679,0,0,0,0,0,0,0,0,0,0,0
ASV130,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0
ASV131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0
ASV132,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV133,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0
ASV134,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV135,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0
ASV136,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV137,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
ASV138,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
ASV14,0,0,0,0,0,0,0,0,5374,0,0,0,0,0,0,0,0,0,0,0
ASV140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0
ASV141,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0
ASV142,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
ASV143,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV144,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0
ASV145,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
ASV146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0
ASV147,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV148,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV149,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
ASV15,0,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV150,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
ASV151,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV152,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV153,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0
ASV157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
ASV159,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV161,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV162,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
ASV163,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
ASV164,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0
ASV165,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
ASV166,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0
ASV167,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
ASV168,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV17,0,0,0,0,0,0,4587,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV170,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV171,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
ASV172,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
ASV173,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV174,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV175,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV176,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
