ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV1,12996,0,0,0,0,0,0,0,0,0,12996,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.74,,0.68,,0.2,,,Class,1.0,+
ASV10,6151,0,0,0,0,0,0,0,0,0,0,0,0,6151,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.74,,0.21,,,Class,1.0,+
ASV102,284,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.44,,0.32,,,Class,1.0,+
ASV103,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.99,Lamiaceae,0.99,,0.43,,0.43,Family,0.99,+
ASV104,271,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.38,,0.27,,0.17,,0.08,Class,1.0,+
ASV106,267,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.14,,0.09,,0.09,,,Class,1.0,+
ASV107,262,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.18,,0.12,,0.12,,,Class,1.0,+
ASV11,6049,0,6049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,Rosaceae,0.8,,0.26,,,Family,0.8,+
ASV110,255,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.6,,0.6,,0.21,,0.21,Class,1.0,+
ASV111,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.51,,0.46,,0.27,Class,1.0,+
