ASV,Strand,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Raw_SINTAX,Accepted_SINTAX
ASV103,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.99,Lamiaceae,0.99,,0.43,,0.43,Family,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.99),f:Lamiaceae(0.99),g:Otostegia(0.43),s:Otostegia_fruticosa(0.43)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV115,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.48,,0.12,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.48),f:Rosaceae(0.48),g:Spiraea(0.12)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV11,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,Rosaceae,0.8,,0.26,,,Family,0.8,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.81),f:Rosaceae(0.80),g:Rosa(0.26)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Rosales,f:Rosaceae"
ASV112,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.65,,,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.65),f:Rosaceae(0.65)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV107,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.18,,0.12,,0.12,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.18),f:Styracaceae(0.12),g:Bruinsmia(0.12)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV12,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.5,,0.41,,0.21,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.68),f:Betulaceae(0.50),g:Corylus(0.41),s:Corylus_heterophylla(0.21)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV104,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.38,,0.27,,0.17,,0.08,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.38),f:Araliaceae(0.27),g:Hydrocotyle(0.17),s:Hydrocotyle_novae-zealandiae(0.08)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV116,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.14,,0.08,,0.08,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.14),f:Styracaceae(0.08),g:Bruinsmia(0.08)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV120,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.82,,0.77,,0.38,,0.37,Order,0.82,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.82),f:Primulaceae(0.77),g:Cyclamen(0.38),s:Cyclamen_purpurascens(0.37)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Ericales"
ASV106,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.14,,0.09,,0.09,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.14),f:Styracaceae(0.09),g:Bruinsmia(0.09)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV117,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.16,,0.08,,0.06,,0.05,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.16),f:Plantaginaceae(0.08),g:Aragoa(0.06),s:Aragoa_x_funzana(0.05)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV110,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.6,,0.6,,0.21,,0.21,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.60),f:Boraginaceae(0.60),g:Omphalodes(0.21),s:Omphalodes_verna(0.21)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV1,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.74,,0.68,,0.2,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.74),f:Rosaceae(0.68),g:Rosa(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV10,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.74,,0.21,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.76),f:Rosaceae(0.74),g:Rosa(0.21)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV111,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.51,,0.46,,0.27,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.67),f:Betulaceae(0.51),g:Corylus(0.46),s:Corylus_heterophylla(0.27)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV102,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.44,,0.32,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.55),f:Euphorbiaceae(0.44),g:Euphorbia(0.32)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV121,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.47,,0.4,,0.21,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.67),f:Betulaceae(0.47),g:Corylus(0.40),s:Corylus_heterophylla(0.21)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV118,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,1.0,Juncaceae,1.0,Luzula,1.0,,,Genus,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(1.00),f:Juncaceae(1.00),g:Luzula(1.00)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Juncaceae,g:Luzula"
ASV122,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Asparagales,0.93,Iridaceae,0.89,,0.25,,0.25,Family,0.89,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Asparagales(0.93),f:Iridaceae(0.89),g:Melasphaerula(0.25),s:Melasphaerula_ramosa(0.25)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Asparagales,f:Iridaceae"
ASV119,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.4,,0.28,,0.17,,0.08,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.40),f:Araliaceae(0.28),g:Hydrocotyle(0.17),s:Hydrocotyle_novae-zealandiae(0.08)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
