sample,reads.in,reads.out,percent_retained
LME1634,14479,12993,89.74
LME1635,14170,12631,89.14
LME1636,12520,10380,82.91
LME1637,13517,10751,79.54
LME1646,19448,17131,88.09
LME1652,13635,12079,88.59
LME1656,15268,13688,89.65
LME1663,20879,18357,87.92
LME1668,20507,18448,89.96
LME1670,18825,16834,89.42
LME1679,14085,12498,88.73
LME1689,11891,6175,51.93
LME1692,13198,10709,81.14
LME1695,15962,14053,88.04
LME1698,14177,12643,89.18
LME1701,15234,13502,88.63
LME1702,13605,12148,89.29
LME1705,14353,12781,89.05
LME1708,13644,11839,86.77
LME1714,12181,6340,52.05
