ASV_ID,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV1,2026,0,6271,1824,9042,13361,7361,2250,0,9615,0,3079,10423,18139,17136,18156,17408,23781,14565,8496
ASV10,0,3001,299,1554,307,69,0,0,0,168,300,47,109,0,0,0,0,384,219,55
ASV100,0,0,0,0,0,0,0,177,0,39,8,57,0,0,0,0,0,0,0,26
ASV101,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV102,0,0,0,0,0,129,0,0,0,173,0,0,0,0,0,0,0,0,0,0
ASV103,0,41,0,235,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
ASV105,0,55,0,106,0,0,0,9,0,0,95,0,0,0,0,0,0,0,0,0
ASV107,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV108,0,0,0,0,13,20,0,0,0,0,0,0,0,42,0,8,0,37,135,0
ASV109,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,0,1567,85,684,962,215,52,0,0,140,0,0,853,273,512,28,0,76,241,96
ASV110,0,83,0,19,0,75,0,4,0,0,64,0,0,0,0,0,0,0,0,0
ASV111,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0
ASV112,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV114,171,21,0,12,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0
ASV115,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0
ASV116,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0
ASV118,0,51,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV119,0,0,0,0,0,0,0,104,0,0,113,0,0,0,0,0,0,0,0,0
ASV12,0,0,2597,0,0,0,0,0,0,0,0,0,0,2827,0,0,0,0,0,0
ASV120,0,25,0,89,0,0,0,0,100,0,0,0,0,2,0,0,0,0,0,0
ASV121,0,27,0,15,0,135,0,0,0,0,29,0,0,0,0,4,0,0,2,0
ASV122,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV123,0,0,0,0,11,33,157,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV125,0,50,0,66,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
ASV126,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0
ASV127,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0
ASV128,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV129,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0
ASV13,0,409,316,195,0,528,1655,34,0,208,368,0,111,1365,42,0,0,0,165,0
ASV130,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0
ASV131,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV132,0,0,0,0,0,0,152,19,0,16,0,0,0,0,0,0,0,0,0,0
ASV133,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0
ASV134,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0
ASV135,0,0,0,66,0,0,0,20,0,0,100,0,0,0,0,0,0,0,0,0
ASV136,0,0,0,0,0,68,0,0,0,0,0,0,54,40,0,22,0,0,0,0
ASV137,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0
ASV138,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,167,0,0
ASV14,0,0,104,690,986,423,0,0,0,226,2251,0,0,76,116,0,0,155,226,0
ASV141,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV142,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0
ASV143,0,35,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0
ASV144,0,33,0,45,0,0,0,0,0,5,89,0,0,0,0,0,0,0,0,0
ASV145,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0
ASV146,0,58,0,44,0,0,0,6,0,0,62,0,0,0,0,0,0,0,0,0
ASV147,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0
ASV148,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
ASV149,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV150,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
ASV151,0,116,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
ASV152,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
ASV154,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0
ASV156,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
ASV157,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0
ASV16,699,0,0,0,0,0,0,0,2529,0,0,0,0,0,0,0,0,0,0,0
ASV162,0,10,0,18,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
ASV164,0,83,0,36,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0
ASV166,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV168,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV169,0,8,5,17,0,6,0,0,0,0,95,0,0,0,0,0,0,0,0,0
ASV17,0,2847,61,102,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
ASV170,0,10,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0
ASV172,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
ASV173,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
ASV174,0,0,0,105,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0
ASV177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
ASV178,0,3,0,0,0,0,0,4,95,0,20,0,0,0,0,0,0,0,0,0
ASV179,0,0,0,0,72,17,0,0,0,0,0,0,33,0,0,0,0,0,0,0
ASV18,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0,0,0,0,0
ASV180,0,0,0,0,0,79,0,0,0,0,0,0,42,0,0,0,0,0,0,0
ASV183,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV184,0,42,0,15,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
ASV185,0,0,0,68,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
ASV186,0,21,0,26,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
ASV187,0,10,0,18,0,0,0,0,0,0,83,0,0,0,0,2,0,0,0,0
ASV188,0,0,0,0,0,84,0,0,0,0,0,0,29,0,0,0,0,0,0,0
ASV189,0,0,0,0,0,0,93,0,0,20,0,0,0,0,0,0,0,0,0,0
ASV19,0,798,605,222,0,64,0,0,0,26,407,0,11,0,0,0,0,0,0,0
ASV191,0,14,0,14,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
ASV192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,50,0,0
ASV193,0,0,0,0,0,0,0,10,0,0,18,0,0,0,0,0,0,82,0,0
ASV194,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV197,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0
ASV198,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0
ASV199,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
ASV2,8863,1363,1597,2533,0,449,2968,8931,3428,471,176,7498,0,0,0,0,0,0,228,0
ASV200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0
ASV201,0,73,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV202,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV204,0,10,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
ASV206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,5,0,0,0
ASV208,0,60,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV21,116,0,0,0,235,223,266,0,0,259,0,0,0,0,0,198,411,257,0,0
ASV210,0,16,0,9,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
ASV212,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
ASV213,0,0,0,22,0,0,0,46,0,0,24,0,0,0,0,0,0,0,0,0
ASV214,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0
ASV215,0,13,0,37,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
ASV216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
ASV217,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV218,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV219,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
ASV22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,450
ASV221,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
ASV223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0
ASV228,0,0,0,0,0,0,0,0,2,0,79,0,0,0,0,0,0,0,0,0
ASV23,0,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0
ASV231,0,36,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
ASV232,0,7,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
ASV233,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV234,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0
ASV235,0,20,0,28,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV236,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
ASV238,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV239,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV24,0,0,9,0,14,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0
ASV241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
ASV243,0,0,0,0,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV244,0,0,0,0,0,0,0,67,0,5,0,0,0,0,0,0,0,0,0,0
ASV245,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
ASV248,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,0,505,34,0,86,49,0,0,0,124,90,82,688,0,0,0,12,0,0,0
ASV250,0,0,0,0,0,0,0,59,0,0,11,0,0,0,0,0,0,0,0,0
ASV252,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
ASV253,0,11,0,0,0,0,0,8,0,0,49,0,0,0,0,0,0,0,0,0
ASV255,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
ASV257,0,36,0,17,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
ASV259,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV263,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV264,0,14,0,21,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV265,0,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,0,29,0,0
ASV267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
ASV269,0,0,0,26,0,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0
ASV27,0,354,0,297,0,0,0,123,0,0,701,0,0,0,0,0,0,0,0,0
ASV271,0,33,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV272,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
ASV273,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
ASV274,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,28,0,0
ASV276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
ASV277,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
ASV278,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
ASV279,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,0,21,0,0,0
ASV280,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
ASV282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
ASV284,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV285,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV288,0,34,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
ASV289,0,5,0,0,0,0,0,22,0,0,28,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,407
ASV290,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
ASV292,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
ASV293,0,23,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV295,0,15,0,0,0,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0
ASV296,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV297,0,0,0,22,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
ASV3,0,0,0,0,4046,8583,0,0,0,1932,0,0,4121,3538,313,1628,334,247,0,0
ASV30,0,0,0,464,0,76,0,109,0,0,141,95,305,29,0,0,0,0,0,0
