ASV_ID,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV103,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.82,Pleosporales,0.82,Pleosporales_incertae_sedis,0.82,Coniothyrium,0.82,Coniothyrium_fuckelii,0.82,+,Species,Coniothyrium_fuckelii,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Coniothyrium,s:Coniothyrium_fuckelii"
ASV169,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,Bionectriaceae,0.99,Bionectria,0.99,Bionectria_sp.,0.99,+,Species,Bionectria_sp.,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Bionectria,s:Bionectria_sp."
ASV185,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.95,Pleosporales,0.95,Phaeosphaeriaceae,0.95,Sclerostagonospora,0.95,Sclerostagonospora_sp.,0.95,+,Species,Sclerostagonospora_sp.,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Sclerostagonospora,s:Sclerostagonospora_sp."
ASV22,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,Ascobolaceae,1.00,Ascobolus,1.00,Ascobolus_sp._CA01,0.99,+,Species,Ascobolus_sp._CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus_sp._CA01"
ASV244,Fungi,1.00,Ascomycota,0.99,Dothideomycetes,0.97,Pleosporales,0.97,Phaeosphaeriaceae,0.97,Sclerostagonospora,0.97,Sclerostagonospora_sp.,0.97,+,Species,Sclerostagonospora_sp.,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Sclerostagonospora,s:Sclerostagonospora_sp."
ASV248,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Pleosporales,1.00,Pleosporales_incertae_sedis,0.96,Coniothyrium,0.96,Coniothyrium_fuckelii,0.96,+,Species,Coniothyrium_fuckelii,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Coniothyrium,s:Coniothyrium_fuckelii"
ASV252,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.98,Ascomycota_order_incertae_sedis,0.98,Ascomycota_family_incertae_sedis,0.98,Trichocladium,0.92,Trichocladium_asperum,0.92,+,Species,Trichocladium_asperum,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Trichocladium,s:Trichocladium_asperum"
ASV255,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,1.00,Ascomycota_order_incertae_sedis,1.00,Ascomycota_family_incertae_sedis,1.00,Preussia,1.00,,,+,Genus,Preussia,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia"
ASV25,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,,,Trichobolus,0.99,Trichobolus_sp._zukalii-CA01,0.99,+,Species,Trichobolus_sp._zukalii-CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,g:Trichobolus,s:Trichobolus_sp._zukalii-CA01"
ASV29,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,Ascobolaceae,1.00,Ascobolus,1.00,Ascobolus_sp._CA01,1.00,+,Species,Ascobolus_sp._CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus,s:Ascobolus_sp._CA01"
