ASV_ID,Total_reads,Samples_present,Sample_list,Sample_read_counts
ASV103,292,3,LME1635;LME1637;LME1679,LME1635:41;LME1637:235;LME1679:16
ASV169,131,5,LME1635;LME1636;LME1637;LME1652;LME1679,LME1635:8;LME1636:5;LME1637:17;LME1652:6;LME1679:95
ASV185,114,2,LME1637;LME1679,LME1637:68;LME1679:46
ASV22,1960,2,LME1708;LME1714,LME1708:1510;LME1714:450
ASV244,72,2,LME1663;LME1670,LME1663:67;LME1670:5
ASV248,70,1,LME1635,LME1635:70
ASV25,1670,9,LME1635;LME1636;LME1646;LME1652;LME1670;LME1679;LME1689;LME1692;LME1702,LME1635:505;LME1636:34;LME1646:86;LME1652:49;LME1670:124;LME1679:90;LME1689:82;LME1692:688;LME1702:12
ASV252,69,1,LME1668,LME1668:69
ASV255,68,1,LME1679,LME1679:68
ASV29,1401,2,LME1708;LME1714,LME1708:994;LME1714:407
ASV30,1219,7,LME1637;LME1652;LME1663;LME1679;LME1689;LME1692;LME1695,LME1637:464;LME1652:76;LME1663:109;LME1679:141;LME1689:95;LME1692:305;LME1695:29
ASV306,49,3,LME1635;LME1663;LME1679,LME1635:30;LME1663:3;LME1679:16
ASV322,46,3,LME1635;LME1663;LME1679,LME1635:8;LME1663:10;LME1679:28
ASV331,43,2,LME1656;LME1668,LME1656:30;LME1668:13
ASV340,41,1,LME1679,LME1679:41
ASV408,27,1,LME1663,LME1663:27
ASV429,24,1,LME1679,LME1679:24
ASV439,23,1,LME1679,LME1679:23
ASV487,17,1,LME1679,LME1679:17
ASV491,16,2,LME1635;LME1663,LME1635:7;LME1663:9
ASV502,16,1,LME1679,LME1679:16
ASV558,11,1,LME1635,LME1635:11
ASV584,10,1,LME1679,LME1679:10
ASV585,10,1,LME1679,LME1679:10
ASV592,10,1,LME1679,LME1679:10
ASV596,9,1,LME1635,LME1635:9
ASV599,9,1,LME1637,LME1637:9
ASV602,9,1,LME1637,LME1637:9
ASV639,8,1,LME1679,LME1679:8
ASV640,8,1,LME1679,LME1679:8
ASV645,8,1,LME1689,LME1689:8
ASV663,7,1,LME1663,LME1663:7
ASV668,7,1,LME1679,LME1679:7
ASV67,486,3,LME1637;LME1663;LME1679,LME1637:200;LME1663:26;LME1679:260
ASV693,6,1,LME1663,LME1663:6
ASV696,6,1,LME1679,LME1679:6
ASV700,6,1,LME1679,LME1679:6
ASV723,5,1,LME1635,LME1635:5
ASV732,5,1,LME1663,LME1663:5
ASV736,5,1,LME1679,LME1679:5
ASV751,5,1,LME1679,LME1679:5
ASV770,4,1,LME1635,LME1635:4
ASV776,4,1,LME1635,LME1635:4
ASV78,406,6,LME1637;LME1652;LME1656;LME1663;LME1668;LME1695,LME1637:13;LME1652:43;LME1656:205;LME1663:100;LME1668:27;LME1695:18
ASV785,4,1,LME1656,LME1656:4
ASV810,4,1,LME1679,LME1679:4
ASV811,4,1,LME1679,LME1679:4
ASV833,3,1,LME1635,LME1635:3
ASV837,3,1,LME1635,LME1635:3
ASV842,3,1,LME1635,LME1635:3
ASV89,349,2,LME1637;LME1692,LME1637:56;LME1692:293
ASV903,2,1,LME1635,LME1635:2
ASV904,2,1,LME1635,LME1635:2
ASV913,2,1,LME1637,LME1637:2
ASV917,2,1,LME1656,LME1656:2
ASV932,2,1,LME1679,LME1679:2
ASV94,319,1,LME1635,LME1635:319
