Family,ASV_count
Psathyrellaceae,23
Nectriaceae,15
Mycosphaerellaceae,14
Lasiosphaeriaceae,12
Thelebolaceae,12
Tremellaceae,12
Trichocomaceae,11
Xylariaceae,11
Ascomycota_family_incertae_sedis,10
Agaricaceae,10
Cortinariaceae,9
Cystobasidiaceae,8
Microascaceae,7
Sporidiobolaceae,7
Hypocreaceae,7
Botryosphaeriaceae,7
Thelephoraceae,7
Strophariaceae,6
Pleosporales_incertae_sedis,5
Diatrypaceae,5
Valsaceae,5
Bionectriaceae,5
Trichosporonaceae,5
Corticiaceae,5
Coniochaetaceae,5
Davidiellaceae,4
Pilobolaceae,4
Dipodascaceae,4
Phaeosphaeriaceae,4
Physalacriaceae,4
Taphrinaceae,4
Hyaloscyphaceae,4
Boletaceae,4
Tricholomataceae,4
Herpotrichiellaceae,4
Phallaceae,3
Saccharomycetaceae,3
Pseudeurotiaceae,3
Filobasidiaceae,3
Melanogastraceae,3
Leptosphaeriaceae,3
Polyporaceae,3
Cordycipitaceae,3
Bulleribasidiaceae,3
Leptopeltidaceae,3
Umbelopsidaceae,3
Sistotremataceae,3
Cephalothecaceae,2
Ascobolaceae,2
Pyronemataceae,2
Flammocladiellaceae,2
Bolbitiaceae,2
Russulaceae,2
Lophiostomataceae,2
Meruliaceae,2
Venturiaceae,2
Exobasidiaceae,2
Geastraceae,2
Hymenogastraceae,2
Diaporthaceae,2
Spiculogloeaceae,2
Chionosphaeraceae,2
Ganodermataceae,2
Xylariales_incertae_sedis,2
Trimorphomycetaceae,2
Chrysozymaceae,2
Agaricostilbaceae,2
Entolomataceae,2
Leotiaceae,2
Rhytismataceae,2
Sordariaceae,1
Chaetothyriaceae,1
Chaetosphaeriaceae,1
Uropyxidaceae,1
Pleosporaceae,1
Dothioraceae,1
Symmetrosporaceae,1
Sporormiaceae,1
Glomeraceae,1
Cryptococcaceae,1
Melanconidaceae,1
Fomitopsidaceae,1
Mucoraceae,1
Sclerotiniaceae,1
Lichtheimiaceae,1
Auriscalpiaceae,1
Mrakiaceae,1
Piskurozymaceae,1
Tremellales_incertae_sedis,1
Paxillaceae,1
Thyridariaceae,1
Diaporthales_incertae_sedis,1
Leotiomycetes_family_incertae_sedis,1
Xenasmataceae,1
Bulleraceae,1
Nidulariaceae,1
Hymenochaetaceae,1
Sarcosomataceae,1
Agyriaceae,1
Massarinaceae,1
Kondoaceae,1
Onygenaceae,1
Lyophyllaceae,1
Teratosphaeriaceae,1
Hygrophoraceae,1
Coniophoraceae,1
Dermateaceae,1
