Genus,ASV_count
Penicillium,10
Coprinopsis,9
Coprinellus,9
Cystobasidium,8
Cortinarius,7
Fusarium,6
Pilidium,6
Trichobolus,6
Rhodotorula,5
Papiliotrema,5
Dioszegia,5
Tomentella,5
Pilobolus,4
Cytospora,4
Preussia,4
Armillaria,4
Podospora,4
Ramularia,4
Trichoderma,4
Lycoperdon,4
Hypoxylon,4
Cladosporium,3
Melanogaster,3
Nectria,3
Hypholoma,3
Vuilleminia,3
Lachnellula,3
Cryptococcus,3
Sphaerobolus,3
Vishniacozyma,3
Dothiopeltis,3
Umbelopsis,3
Trechispora,3
Coniothyrium,2
Cystofilobasidium,2
Phallus,2
Pichia,2
Pseudogymnoascus,2
Naganishia,2
Doratomyces,2
Sclerostagonospora,2
Ascobolus,2
Galactomyces,2
Peyronellaea,2
Trametes,2
Flammocladiella,2
Conocybe,2
Bulleribasidium,2
Paraconiothyrium,2
Mrakia,2
Leccinellum,2
Sistotrema,2
Lophiostoma,2
Phlebia,2
Rhizosphaera,2
Pseudocercosporella,2
Erythrobasidium,2
Dothiora,2
Exobasidium,2
Geastrum,2
Hebeloma,2
Diaporthe,2
Phyllozyma,2
Coprinus,2
Ganoderma,2
Microdochium,2
Rhodosporidiobolus,2
Microdiplodia,2
Carlosrosaea,2
Taphrina,2
Bensingtonia,2
Entoloma,2
Lacrymaria,2
Chalara,2
Alatospora,2
Lophodermium,2
Phoma,1
Geotrichum,1
Bionectria,1
Sordaria,1
Cyphellophora,1
Nemania,1
Xylaria,1
Cheilymenia,1
Trichocladium,1
Valsa,1
Lalaria,1
Chaetosphaeria,1
Ochropsora,1
Lopadostoma,1
Pyrenochaeta,1
Beauveria,1
Lactarius,1
Lepista,1
Aureobasidium,1
Devriesia,1
Antarctomyces,1
Pleonectria,1
Symmetrospora,1
Pseudocercospora,1
Glomus,1
Mutinus,1
Teunia,1
Elaphocordyceps,1
Phaeobotryosphaeria,1
Postia,1
Dendrophoma,1
Lentinus,1
Mucor,1
Scutellinia,1
Cercophora,1
Leucosporidium,1
Septoria,1
Rhizomucor,1
Lentinellus,1
Phaeococcomyces,1
Candida,1
Kurtzmanomyces,1
Hypocrea,1
Dendryphion,1
Tausonia,1
Stropharia,1
Piskurozyma,1
Pseudorobillarda,1
Biscogniauxia,1
Cystolepiota,1
Plectosphaerella,1
Farysizyma,1
Cyathus,1
Myrothecium,1
Stachybotrys,1
Hannaella,1
Epicoccum,1
Paxillus,1
Thyridaria,1
Sirococcus,1
Capitotricha,1
Fellozyma,1
Valsaria,1
Dendrostilbella,1
Sporobolomyces,1
Ballistosporomyces,1
Psathyrella,1
Xenasma,1
Stylonectria,1
Genolevuria,1
Acremonium,1
Crucibulum,1
Inonotus,1
Rosellinia,1
Plectania,1
Paralepista,1
Sarea,1
Macrolepiota,1
Deconica,1
Lecythophora,1
Massarina,1
Cadophora,1
Lepiota,1
Capronia,1
Kondoa,1
Chrysosporium,1
Daldinia,1
Octaviania,1
Ramichloridium,1
Melanoleuca,1
Filobasidium,1
Chionosphaera,1
Xylomelasma,1
Chrysozyma,1
Hygrocybe,1
Simplicillium,1
Agrocybe,1
Coniophora,1
Calloria,1
