ASV_ID,Rank,Proposed_taxon,Confidence
ASV102,Phylum,Ascomycota,0.72
ASV102,Class,Saccharomycetes,0.55
ASV102,Order,Saccharomycetales,0.55
ASV108,Order,Sordariales,0.68
ASV108,Family,Chaetomiaceae,0.31
ASV11,Family,Lasiosphaeriaceae,0.71
ASV110,Genus,Diatrype,0.74
ASV110,Species,Diatrype_stigma,0.68
ASV100,Species,Cystobasidium_laryngis,0.7
ASV115,Phylum,Basidiomycota,0.6
ASV115,Class,Agaricomycetes,0.59
ASV115,Order,Agaricales,0.22
ASV115,Family,Hydnangiaceae,0.07
ASV115,Genus,Laccaria,0.07
ASV115,Species,Laccaria_montana,0.07
ASV111,Phylum,Ascomycota,0.5
ASV111,Class,Saccharomycetes,0.16
ASV111,Order,Saccharomycetales,0.16
ASV111,Family,Trichomonascaceae,0.07
ASV111,Genus,Zygoascus,0.05
ASV111,Species,Zygoascus_meyerae,0.04
ASV120,Class,Sordariomycetes,0.64
ASV120,Order,Sordariales,0.64
ASV120,Family,Lasiosphaeriaceae,0.64
ASV120,Genus,Podospora,0.62
ASV120,Species,Podospora_glutinans,0.61
ASV123,Class,Ascomycota_class_incertae_sedis,0.67
ASV123,Order,Ascomycota_order_incertae_sedis,0.67
ASV123,Family,Ascomycota_family_incertae_sedis,0.67
ASV123,Genus,Preussia,0.67
ASV123,Species,Preussia_africana,0.27
ASV127,Phylum,Basidiomycota,0.65
ASV127,Class,Agaricomycetes,0.63
ASV127,Order,Agaricales,0.34
ASV127,Family,Hydnangiaceae,0.12
ASV127,Genus,Laccaria,0.12
ASV127,Species,Laccaria_montana,0.12
ASV12,Species,Coprinopsis_sclerotiorum,0.33
ASV125,Phylum,Ascomycota,0.69
ASV125,Class,Leotiomycetes,0.53
ASV125,Order,Helotiales,0.53
ASV128,Species,Pseudogymnoascus_pannorum,0.77
ASV130,Phylum,Basidiomycota,0.61
ASV130,Class,Agaricomycetes,0.56
ASV130,Order,Agaricales,0.3
ASV130,Family,Hydnangiaceae,0.08
ASV130,Genus,Laccaria,0.08
ASV130,Species,Laccaria_montana,0.08
ASV129,Genus,Geotrichum,0.73
ASV129,Species,Geotrichum_candidum,0.73
ASV13,Class,Ascomycota_class_incertae_sedis,0.5
ASV13,Order,Ascomycota_order_incertae_sedis,0.5
ASV13,Family,Ascomycota_family_incertae_sedis,0.5
ASV13,Genus,Preussia,0.5
ASV13,Species,Preussia_africana,0.29
ASV135,Species,Cytospora_schulzeri,0.45
ASV137,Phylum,Basidiomycota,0.69
ASV137,Class,Agaricomycetes,0.63
ASV137,Order,Agaricales,0.25
ASV137,Family,Amanitaceae,0.1
ASV137,Genus,Amanita,0.1
ASV137,Species,Amanita_flavoconia,0.05
ASV138,Genus,Cercophora,0.28
ASV138,Species,Cercophora_sulphurella,0.25
ASV139,Species,Melanogaster_broomeanus,0.56
ASV131,Phylum,Basidiomycota,0.53
ASV131,Class,Agaricomycetes,0.45
ASV131,Order,Boletales,0.21
ASV131,Family,Boletaceae,0.19
ASV131,Genus,Tylopilus,0.19
ASV131,Species,Tylopilus_cf._balloui,0.19
ASV133,Genus,Trichobolus,0.61
ASV133,Species,Trichobolus_zukalii,0.39
ASV141,Family,Nectriaceae,0.4
ASV141,Genus,Cosmospora,0.16
ASV141,Species,Cosmospora_aff._viliuscula_PC-2011,0.11
ASV142,Phylum,Basidiomycota,0.73
ASV142,Class,Agaricomycetes,0.71
ASV142,Order,Agaricales,0.27
ASV142,Family,Hydnangiaceae,0.08
ASV142,Genus,Laccaria,0.08
ASV142,Species,Laccaria_montana,0.08
ASV143,Class,Leotiomycetes,0.72
ASV143,Order,Helotiales,0.71
ASV143,Family,Hyaloscyphaceae,0.4
ASV143,Genus,Catenulifera,0.32
ASV143,Species,Catenulifera_brevicollaris,0.32
ASV144,Species,Cladosporium_oxysporum,0.54
ASV145,Phylum,Basidiomycota,0.66
ASV145,Class,Agaricomycetes,0.65
ASV145,Order,Boletales,0.25
ASV145,Family,Boletaceae,0.2
ASV145,Genus,Tylopilus,0.2
ASV145,Species,Tylopilus_cf._balloui,0.2
ASV150,Class,Sordariomycetes,0.73
ASV150,Order,Hypocreales,0.73
ASV150,Family,Nectriaceae,0.73
ASV150,Genus,Fusarium,0.66
ASV150,Species,Fusarium_solani,0.58
ASV151,Family,Sordariaceae,0.73
ASV151,Genus,Sordaria,0.73
ASV151,Species,Sordaria_araneosa,0.73
ASV154,Phylum,Basidiomycota,0.4
ASV154,Class,Agaricomycetes,0.33
ASV154,Order,Agaricales,0.27
ASV154,Family,Hydnangiaceae,0.1
ASV154,Genus,Laccaria,0.1
ASV154,Species,Laccaria_montana,0.07
ASV147,Genus,Sphaerobolus,0.79
ASV147,Species,Sphaerobolus_iowensis,0.72
ASV156,Genus,Leucosporidiella,0.52
ASV156,Species,Leucosporidiella_creatinivora,0.48
ASV159,Phylum,Basidiomycota,0.41
ASV159,Class,Agaricomycetes,0.19
ASV159,Order,Agaricales,0.11
ASV159,Family,Hygrophoraceae,0.04
ASV159,Genus,Hygrocybe,0.04
ASV159,Species,Hygrocybe_sp._CA04,0.02
ASV16,Species,Doratomyces_nanus,0.31
ASV17,Family,Sordariaceae,0.72
ASV17,Genus,Sordaria,0.72
ASV17,Species,Sordaria_araneosa,0.72
ASV170,Species,Nectria_nigrescens,0.64
