ASV_ID,Total_reads,Samples_present,Sample_list,Sample_read_counts
ASV100,307,5,LME1663;LME1670;LME1679;LME1689;LME1714,LME1663:177;LME1670:39;LME1679:8;LME1689:57;LME1714:26
ASV102,302,2,LME1652;LME1670,LME1652:129;LME1670:173
ASV108,255,6,LME1646;LME1652;LME1695;LME1701;LME1705;LME1708,LME1646:13;LME1652:20;LME1695:42;LME1701:8;LME1705:37;LME1708:135
ASV11,5784,14,LME1635;LME1636;LME1637;LME1646;LME1652;LME1656;LME1670;LME1692;LME1695;LME1698;LME1701;LME1705;LME1708;LME1714,LME1635:1567;LME1636:85;LME1637:684;LME1646:962;LME1652:215;LME1656:52;LME1670:140;LME1692:853;LME1695:273;LME1698:512;LME1701:28;LME1705:76;LME1708:241;LME1714:96
ASV110,245,5,LME1635;LME1637;LME1652;LME1663;LME1679,LME1635:83;LME1637:19;LME1652:75;LME1663:4;LME1679:64
ASV111,241,1,LME1670,LME1670:241
ASV115,227,1,LME1679,LME1679:227
ASV12,5424,2,LME1636;LME1695,LME1636:2597;LME1695:2827
ASV120,216,4,LME1635;LME1637;LME1668;LME1695,LME1635:25;LME1637:89;LME1668:100;LME1695:2
ASV123,201,3,LME1646;LME1652;LME1656,LME1646:11;LME1652:33;LME1656:157
ASV125,199,3,LME1635;LME1637;LME1679,LME1635:50;LME1637:66;LME1679:83
ASV127,195,1,LME1679,LME1679:195
ASV128,194,1,LME1634,LME1634:194
ASV129,194,1,LME1668,LME1668:194
ASV13,5396,12,LME1635;LME1636;LME1637;LME1652;LME1656;LME1663;LME1670;LME1679;LME1692;LME1695;LME1698;LME1708,LME1635:409;LME1636:316;LME1637:195;LME1652:528;LME1656:1655;LME1663:34;LME1670:208;LME1679:368;LME1692:111;LME1695:1365;LME1698:42;LME1708:165
ASV130,192,1,LME1679,LME1679:192
ASV131,188,1,LME1635,LME1635:188
ASV133,187,1,LME1663,LME1663:187
ASV135,186,3,LME1637;LME1663;LME1679,LME1637:66;LME1663:20;LME1679:100
ASV137,184,1,LME1679,LME1679:184
ASV138,177,1,LME1637,LME1637:177
ASV139,176,2,LME1701;LME1705,LME1701:9;LME1705:167
ASV141,173,1,LME1652,LME1652:173
ASV142,173,1,LME1679,LME1679:173
ASV143,172,2,LME1635;LME1679,LME1635:35;LME1679:137
ASV144,172,4,LME1635;LME1637;LME1670;LME1679,LME1635:33;LME1637:45;LME1670:5;LME1679:89
ASV145,172,1,LME1679,LME1679:172
ASV147,169,1,LME1679,LME1679:169
ASV150,164,1,LME1668,LME1668:164
ASV151,160,2,LME1635;LME1679,LME1635:116;LME1679:44
ASV154,157,1,LME1668,LME1668:157
ASV156,150,1,LME1663,LME1663:150
ASV159,146,1,LME1701,LME1701:146
ASV16,3228,2,LME1634;LME1668,LME1634:699;LME1668:2529
ASV166,133,1,LME1646,LME1646:133
ASV168,132,1,LME1656,LME1656:132
ASV17,3056,4,LME1635;LME1636;LME1637;LME1689,LME1635:2847;LME1636:61;LME1637:102;LME1689:46
ASV170,128,2,LME1635;LME1679,LME1635:10;LME1679:118
ASV174,125,3,LME1637;LME1692;LME1695,LME1637:105;LME1692:3;LME1695:17
ASV178,122,4,LME1635;LME1663;LME1668;LME1679,LME1635:3;LME1663:4;LME1668:95;LME1679:20
ASV179,122,3,LME1646;LME1652;LME1692,LME1646:72;LME1652:17;LME1692:33
ASV18,2707,1,LME1668,LME1668:2707
ASV180,121,2,LME1652;LME1692,LME1652:79;LME1692:42
ASV183,117,1,LME1646,LME1646:117
ASV186,113,3,LME1635;LME1637;LME1679,LME1635:21;LME1637:26;LME1679:66
ASV189,113,2,LME1656;LME1670,LME1656:93;LME1670:20
ASV192,111,2,LME1698;LME1705,LME1698:61;LME1705:50
ASV194,109,1,LME1634,LME1634:109
ASV197,107,1,LME1679,LME1679:107
ASV198,106,1,LME1679,LME1679:106
ASV200,102,1,LME1668,LME1668:102
ASV202,99,1,LME1652,LME1652:99
ASV206,97,2,LME1698;LME1702,LME1698:92;LME1702:5
ASV208,96,2,LME1635;LME1637,LME1635:60;LME1637:36
ASV210,94,3,LME1635;LME1637;LME1679,LME1635:16;LME1637:9;LME1679:69
ASV212,93,1,LME1668,LME1668:93
ASV214,92,1,LME1679,LME1679:92
ASV215,91,3,LME1635;LME1637;LME1679,LME1635:13;LME1637:37;LME1679:41
ASV217,89,1,LME1635,LME1635:89
ASV218,88,1,LME1637,LME1637:88
ASV219,88,1,LME1668,LME1668:88
ASV221,88,1,LME1679,LME1679:88
ASV23,1848,1,LME1679,LME1679:1848
ASV231,79,2,LME1635;LME1679,LME1635:36;LME1679:43
ASV234,76,1,LME1679,LME1679:76
ASV236,75,1,LME1668,LME1668:75
ASV238,73,1,LME1636,LME1636:73
ASV239,73,1,LME1656,LME1656:73
ASV24,1734,3,LME1636;LME1646;LME1695,LME1636:9;LME1646:14;LME1695:1711
ASV241,73,1,LME1705,LME1705:73
ASV243,72,2,LME1646;LME1652,LME1646:28;LME1652:44
ASV255,68,1,LME1679,LME1679:68
ASV257,65,3,LME1635;LME1637;LME1679,LME1635:36;LME1637:17;LME1679:12
ASV259,64,1,LME1637,LME1637:64
ASV263,62,1,LME1635,LME1635:62
ASV265,62,3,LME1637;LME1679;LME1705,LME1637:14;LME1679:19;LME1705:29
ASV267,62,1,LME1702,LME1702:62
ASV269,61,3,LME1637;LME1663;LME1679,LME1637:26;LME1663:3;LME1679:32
ASV272,60,1,LME1679,LME1679:60
ASV273,60,1,LME1692,LME1692:60
ASV276,59,1,LME1708,LME1708:59
ASV277,58,1,LME1668,LME1668:58
ASV279,57,1,LME1635,LME1635:57
ASV28,1428,2,LME1698;LME1702,LME1698:1407;LME1702:21
ASV284,56,1,LME1635,LME1635:56
ASV285,56,1,LME1656,LME1656:56
ASV288,55,3,LME1635;LME1656;LME1663,LME1635:34;LME1656:3;LME1663:18
ASV289,55,3,LME1635;LME1663;LME1679,LME1635:5;LME1663:22;LME1679:28
ASV293,53,2,LME1635;LME1679,LME1635:23;LME1679:30
ASV296,51,1,LME1635,LME1635:51
ASV300,50,3,LME1635;LME1652;LME1679,LME1635:14;LME1652:15;LME1679:21
ASV302,50,1,LME1652,LME1652:50
ASV304,50,4,LME1692;LME1698;LME1701;LME1705,LME1692:5;LME1698:11;LME1701:20;LME1705:14
ASV307,49,3,LME1635;LME1637;LME1679,LME1635:25;LME1637:6;LME1679:18
ASV308,49,2,LME1635;LME1637,LME1635:20;LME1637:29
ASV310,48,3,LME1635;LME1663;LME1679,LME1635:10;LME1663:13;LME1679:25
ASV312,48,1,LME1663,LME1663:48
ASV314,48,1,LME1679,LME1679:48
ASV316,47,1,LME1635,LME1635:47
ASV319,47,1,LME1679,LME1679:47
ASV327,44,1,LME1679,LME1679:44
ASV329,43,2,LME1635;LME1679,LME1635:7;LME1679:36
ASV330,43,1,LME1636,LME1636:43
ASV331,43,2,LME1656;LME1668,LME1656:30;LME1668:13
ASV336,42,1,LME1668,LME1668:42
ASV337,42,1,LME1695,LME1695:42
ASV339,41,1,LME1646,LME1646:41
ASV341,40,2,LME1635;LME1679,LME1635:22;LME1679:18
ASV345,39,1,LME1679,LME1679:39
ASV346,38,1,LME1635,LME1635:38
ASV348,38,1,LME1636,LME1636:38
ASV349,38,1,LME1663,LME1663:38
ASV35,1051,4,LME1646;LME1670;LME1698;LME1705,LME1646:76;LME1670:683;LME1698:262;LME1705:30
ASV351,38,1,LME1668,LME1668:38
ASV354,37,1,LME1670,LME1670:37
ASV356,36,1,LME1663,LME1663:36
ASV360,34,3,LME1635;LME1637;LME1679,LME1635:25;LME1637:6;LME1679:3
ASV361,34,2,LME1635;LME1637,LME1635:8;LME1637:26
ASV363,34,1,LME1679,LME1679:34
ASV371,32,1,LME1663,LME1663:32
ASV372,32,1,LME1679,LME1679:32
ASV373,32,1,LME1679,LME1679:32
ASV376,31,1,LME1652,LME1652:31
ASV377,31,1,LME1668,LME1668:31
ASV381,31,1,LME1698,LME1698:31
ASV383,30,2,LME1646;LME1701,LME1646:18;LME1701:12
ASV385,30,1,LME1679,LME1679:30
ASV387,30,1,LME1679,LME1679:30
ASV392,29,2,LME1679;LME1705,LME1679:16;LME1705:13
ASV397,28,2,LME1635;LME1679,LME1635:13;LME1679:15
ASV399,28,4,LME1635;LME1646;LME1652;LME1689,LME1635:6;LME1646:3;LME1652:15;LME1689:4
ASV40,864,6,LME1656;LME1670;LME1692;LME1698;LME1701;LME1705,LME1656:291;LME1670:76;LME1692:237;LME1698:44;LME1701:185;LME1705:31
ASV400,28,2,LME1635;LME1679,LME1635:3;LME1679:25
ASV401,28,2,LME1637;LME1679,LME1637:18;LME1679:10
ASV404,28,1,LME1679,LME1679:28
ASV405,28,1,LME1698,LME1698:28
ASV407,27,1,LME1635,LME1635:27
ASV41,862,1,LME1702,LME1702:862
ASV410,27,1,LME1679,LME1679:27
ASV413,26,1,LME1635,LME1635:26
ASV414,26,1,LME1637,LME1637:26
ASV416,26,1,LME1679,LME1679:26
ASV419,26,1,LME1698,LME1698:26
ASV423,25,1,LME1679,LME1679:25
ASV424,25,1,LME1679,LME1679:25
ASV426,25,1,LME1679,LME1679:25
ASV428,24,1,LME1679,LME1679:24
ASV429,24,1,LME1679,LME1679:24
ASV433,23,2,LME1635;LME1637,LME1635:9;LME1637:14
ASV434,23,2,LME1635;LME1637,LME1635:3;LME1637:20
ASV435,23,2,LME1637;LME1679,LME1637:10;LME1679:13
ASV438,23,1,LME1679,LME1679:23
ASV44,730,1,LME1668,LME1668:730
ASV440,23,1,LME1679,LME1679:23
ASV441,23,1,LME1679,LME1679:23
ASV444,22,1,LME1635,LME1635:22
ASV447,22,1,LME1646,LME1646:22
ASV449,22,1,LME1663,LME1663:22
ASV450,22,1,LME1679,LME1679:22
ASV451,22,1,LME1679,LME1679:22
ASV455,21,2,LME1635;LME1679,LME1635:13;LME1679:8
ASV457,21,1,LME1679,LME1679:21
ASV460,20,1,LME1637,LME1637:20
ASV462,20,1,LME1679,LME1679:20
ASV464,20,1,LME1679,LME1679:20
ASV467,19,1,LME1635,LME1635:19
ASV468,19,1,LME1637,LME1637:19
ASV47,701,2,LME1652;LME1679,LME1652:439;LME1679:262
ASV471,19,1,LME1670,LME1670:19
ASV472,19,1,LME1679,LME1679:19
ASV476,18,1,LME1663,LME1663:18
ASV477,18,1,LME1663,LME1663:18
ASV479,18,1,LME1679,LME1679:18
ASV48,700,3,LME1635;LME1637;LME1679,LME1635:63;LME1637:124;LME1679:513
ASV485,17,1,LME1679,LME1679:17
ASV488,17,1,LME1679,LME1679:17
ASV490,17,1,LME1679,LME1679:17
ASV492,16,2,LME1635;LME1679,LME1635:5;LME1679:11
ASV494,16,1,LME1646,LME1646:16
ASV495,16,1,LME1652,LME1652:16
ASV498,16,1,LME1679,LME1679:16
ASV499,16,1,LME1679,LME1679:16
ASV501,16,1,LME1679,LME1679:16
ASV503,16,1,LME1679,LME1679:16
ASV506,15,1,LME1635,LME1635:15
ASV507,15,1,LME1635,LME1635:15
ASV51,656,3,LME1656;LME1663;LME1670,LME1656:282;LME1663:313;LME1670:61
ASV511,15,1,LME1679,LME1679:15
ASV512,15,1,LME1679,LME1679:15
ASV513,15,1,LME1679,LME1679:15
ASV518,14,1,LME1663,LME1663:14
ASV52,647,4,LME1635;LME1652;LME1679;LME1695,LME1635:30;LME1652:587;LME1679:9;LME1695:21
ASV521,14,1,LME1679,LME1679:14
ASV522,14,1,LME1679,LME1679:14
ASV523,13,1,LME1635,LME1635:13
ASV524,13,1,LME1635,LME1635:13
ASV527,13,1,LME1656,LME1656:13
ASV528,13,1,LME1663,LME1663:13
ASV529,13,1,LME1663,LME1663:13
ASV53,643,2,LME1634;LME1636,LME1634:539;LME1636:104
ASV531,13,1,LME1679,LME1679:13
ASV532,13,1,LME1679,LME1679:13
ASV533,13,1,LME1679,LME1679:13
ASV534,13,1,LME1679,LME1679:13
ASV535,13,1,LME1679,LME1679:13
ASV536,13,1,LME1679,LME1679:13
