Species,ASV_count
Trichobolus_sp._zukalii-CA01,5
Pilobolus_crystallinus,4
Pilidium_concavum,4
Vuilleminia_comedens,3
Papiliotrema_flavescens,3
Dothiopeltis_n._sp.,3
Coniothyrium_fuckelii,2
Phallus_impudicus,2
Pichia_fermentans,2
Naganishia_albida,2
Sclerostagonospora_sp.,2
Coprinopsis_semitalis,2
Ascobolus_sp._CA01,2
Coprinellus_micaceus,2
Flammocladiella_decora,2
Bulleribasidium_oberjochense,2
Lophiostoma_corticola,2
Cryptococcus_wisconsinensis,2
Phlebia_livida,2
Pseudocercosporella_fraxini,2
Sphaerobolus_ingoldii,2
Vishniacozyma_carnescens,2
Tomentella_sp.,2
Rhodotorula_sp._CCFEE_5628,2
Ganoderma_applanatum,2
Microdochium_phragmitis,2
Rhodosporidiobolus_colostri,2
Microdiplodia_sp._A18,2
Carlosrosaea_foliicola,2
Lacrymaria_lacrymabunda,2
Alatospora_acuminata,2
Lophodermium_piceae,2
Cystofilobasidium_capitatum,1
Penicillium_chrysogenum,1
Phoma_macrostoma,1
Cladosporium_variabile,1
Penicillium_concentricum,1
Geotrichum_candidum,1
Bionectria_sp.,1
Fusarium_oxysporum,1
Hypholoma_sublateritium,1
Sordaria_araneosa,1
Cyphellophora_sessilis,1
Cytospora_predappioensis,1
Hypholoma_capnoides,1
Nemania_maritima,1
Xylaria_longipes,1
Cheilymenia_stercorea,1
Cystobasidium_slooffiae,1
Peyronellaea_glomerata,1
Trichocladium_asperum,1
Trametes_versicolor,1
Chaetosphaeria_ovoidea,1
Podospora_pyriformis,1
Ramularia_vizellae,1
Ochropsora_ariae,1
Trichoderma_sp._GD25b,1
Pyrenochaeta_cava,1
Paraconiothyrium_sporulosum,1
Mrakia_aquatica,1
Trichobolus_zukalii,1
Beauveria_bassiana,1
Rhodotorula_sp.,1
Lactarius_salmonicolor,1
Lycoperdon_perlatum,1
Lepista_glaucocana,1
Trichoderma_minutisporum,1
Coprinellus_disseminatus,1
Aureobasidium_pullulans,1
Cortinarius_odorifer,1
Antarctomyces_psychrotrophicus,1
Pleonectria_sinopica,1
Cortinarius_maculatocaespitosus,1
Erythrobasidium_sp.,1
Papiliotrema_perniciosa,1
Dioszegia_zsoltii,1
Pseudocercospora_norchiensis,1
Podospora_glutinans,1
Cystofilobasidium_macerans,1
Erythrobasidium_yunnanense,1
Papiliotrema_fuscus,1
Rhizosphaera_oudemansii,1
Mutinus_caninus,1
Teunia_betulae,1
Geastrum_sp.,1
Lycoperdon_pratense,1
Sistotrema_octosporum,1
Elaphocordyceps_sp._20124794d,1
Phaeobotryosphaeria_visci,1
Postia_subcaesia,1
Nectria_coryli,1
Hebeloma_sinapizans,1
Dendrophoma_cytisporoides,1
Lentinus_brumalis,1
Umbelopsis_isabellina,1
Cercophora_areolata,1
Leucosporidium_scottii,1
Septoria_lycopersici_var._lycopersici,1
Rhizomucor_pusillus,1
Cortinarius_percomis,1
Diaporthe_eres,1
Candida_sake,1
Phyllozyma_aceris,1
Kurtzmanomyces_sp._CBS_12709,1
Hypocrea_gelatinosa,1
Pseudogymnoascus_pannorum,1
Coprinellus_xanthothrix,1
Trechispora_sp.,1
Tausonia_pullulans,1
Diaporthe_cf._nobilis,1
Stropharia_aeruginosa,1
Podospora_longicollis,1
Coprinus_foetidellus,1
Coprinopsis_stercorea,1
Pilidium_acerinum,1
Biscogniauxia_mediterranea,1
Dioszegia_crocea,1
Cystolepiota_bucknallii,1
Hypoxylon_howeanum,1
Plectosphaerella_cucumerina,1
Farysizyma_itapuensis,1
Cyathus_striatus,1
Lycoperdon_pyriforme,1
Phyllozyma_coprosmicola,1
Sphaerobolus_iowensis,1
Stachybotrys_chartarum,1
Hannaella_oryzae,1
Tomentella_bryophila,1
Paxillus_involutus,1
Cystobasidium_raffinophilum,1
Trametes_hirsuta,1
Trichoderma_harzianum,1
Thyridaria_rubronotata,1
Sirococcus_conigenus,1
Capitotricha_sp.,1
Fellozyma_inositophila,1
Dendrostilbella_mycophila,1
Sporobolomyces_symmetricus,1
Cortinarius_anserinus,1
Psathyrella_gossypina,1
Umbelopsis_nana,1
Stylonectria_norvegica,1
Genolevuria_amylolytica,1
Rhodotorula_sp._KBP_3844,1
Mrakia_fibulata,1
Inonotus_sp.,1
Rosellinia_corticium,1
Coprinus_comatus,1
Coprinellus_radicellus,1
Plectania_melastoma,1
Cryptococcus_sp.,1
Trechispora_microspora,1
Taphrina_sp.,1
Dioszegia_takashimae,1
Bensingtonia_sp._AS_2.2601,1
Hypoxylon_fuscum,1
Preussia_africana,1
Lachnellula_subtilissima,1
Conocybe_pilosella,1
Macrolepiota_procera,1
Deconica_inquilina,1
Lecythophora_sp.,1
Massarina_sp._MUT_4323,1
Cadophora_malorum,1
Lepiota_rhodorhiza,1
Kondoa_gutianensis,1
Geastrum_rufescens,1
Chrysosporium_carmichaelii,1
Hypoxylon_perforatum,1
Daldinia_childiae,1
Cortinarius_arcuatorum,1
Octaviania_sp.,1
Chalara_holubovae,1
Ramichloridium_apiculatum,1
Coprinellus_heptemerus,1
Bensingtonia_naganoensis,1
Coprinopsis_echinospora,1
Filobasidium_globosum,1
Hypoxylon_rubiginosum,1
Chionosphaera_cuniculicola,1
Trichoderma_citrinoviride,1
Trechispora_caucasica,1
Xylomelasma_sp._ZK29/08,1
Chrysozyma_griseoflava,1
Hygrocybe_intermedia,1
Simplicillium_chinense,1
Coniophora_puteana,1
Calloria_neglecta,1
