ASV103	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.82),o:Pleosporales(0.82),f:Pleosporales_incertae_sedis(0.82),g:Coniothyrium(0.82),s:Coniothyrium_fuckelii(0.82)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Coniothyrium,s:Coniothyrium_fuckelii
ASV102	k:Fungi(1.00),p:Ascomycota(0.72),c:Saccharomycetes(0.55),o:Saccharomycetales(0.55)	+	k:Fungi
ASV10	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.97),o:Sordariales(0.97),f:Lasiosphaeriaceae(0.84)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
ASV105	k:Fungi(1.00),p:Basidiomycota(1.00),c:Tremellomycetes(1.00),o:Cystofilobasidiales(1.00),g:Cystofilobasidium(1.00),s:Cystofilobasidium_capitatum(1.00)	-	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,g:Cystofilobasidium,s:Cystofilobasidium_capitatum
ASV1	k:Fungi(1.00),p:Ascomycota(1.00),c:Leotiomycetes(0.87),o:Thelebolales(0.87),f:Thelebolaceae(0.87)	+	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
ASV101	k:Fungi(1.00),p:Ascomycota(1.00),c:Eurotiomycetes(1.00),o:Eurotiales(1.00),f:Trichocomaceae(1.00),g:Penicillium(1.00),s:Penicillium_chrysogenum(0.96)	+	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium_chrysogenum
ASV109	k:Fungi(1.00),p:Ascomycota(1.00),c:Pezizomycetes(1.00),o:Pezizales(1.00)	+	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
ASV108	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.86),o:Sordariales(0.68),f:Chaetomiaceae(0.31)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes
ASV11	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.97),o:Sordariales(0.96),f:Lasiosphaeriaceae(0.71)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
ASV110	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Xylariales(1.00),f:Diatrypaceae(1.00),g:Diatrype(0.74),s:Diatrype_stigma(0.68)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae
ASV107	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.99),o:Microascales(0.99),f:Microascaceae(0.99)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
ASV100	k:Fungi(1.00),p:Basidiomycota(1.00),c:Cystobasidiomycetes(1.00),o:Cystobasidiales(1.00),f:Cystobasidiaceae(1.00),g:Cystobasidium(1.00),s:Cystobasidium_laryngis(0.70)	-	k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium
ASV112	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Microascales(1.00),f:Microascaceae(1.00)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae
ASV114	k:Fungi(1.00),p:Ascomycota(1.00),c:Ascomycota_class_incertae_sedis(1.00),o:Ascomycota_order_incertae_sedis(1.00),f:Cephalothecaceae(1.00)	+	k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Cephalothecaceae
ASV115	k:Fungi(1.00),p:Basidiomycota(0.60),c:Agaricomycetes(0.59),o:Agaricales(0.22),f:Hydnangiaceae(0.07),g:Laccaria(0.07),s:Laccaria_montana(0.07)	+	k:Fungi
ASV116	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Phallales(1.00),f:Phallaceae(1.00),g:Phallus(1.00),s:Phallus_impudicus(1.00)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Phallales,f:Phallaceae,g:Phallus,s:Phallus_impudicus
ASV111	k:Fungi(1.00),p:Ascomycota(0.50),c:Saccharomycetes(0.16),o:Saccharomycetales(0.16),f:Trichomonascaceae(0.07),g:Zygoascus(0.05),s:Zygoascus_meyerae(0.04)	+	k:Fungi
ASV118	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(1.00),o:Pleosporales(1.00),g:Phoma(0.94),s:Phoma_macrostoma(0.94)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,g:Phoma,s:Phoma_macrostoma
ASV120	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.64),o:Sordariales(0.64),f:Lasiosphaeriaceae(0.64),g:Podospora(0.62),s:Podospora_glutinans(0.61)	+	k:Fungi,p:Ascomycota
ASV121	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(1.00),o:Capnodiales(1.00),f:Davidiellaceae(1.00),g:Cladosporium(1.00),s:Cladosporium_variabile(0.82)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium,s:Cladosporium_variabile
ASV122	k:Fungi(1.00),p:Ascomycota(1.00),c:Eurotiomycetes(1.00),o:Eurotiales(1.00),f:Trichocomaceae(1.00),g:Penicillium(0.95),s:Penicillium_concentricum(0.80)	+	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium_concentricum
ASV123	k:Fungi(1.00),p:Ascomycota(0.98),c:Ascomycota_class_incertae_sedis(0.67),o:Ascomycota_order_incertae_sedis(0.67),f:Ascomycota_family_incertae_sedis(0.67),g:Preussia(0.67),s:Preussia_africana(0.27)	+	k:Fungi,p:Ascomycota
ASV126	k:Fungi(1.00),p:Ascomycota(0.95),c:Saccharomycetes(0.91),o:Saccharomycetales(0.91),f:Saccharomycetaceae(0.90),g:Pichia(0.90),s:Pichia_fermentans(0.90)	+	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Pichia,s:Pichia_fermentans
ASV119	k:Fungi(1.00),p:Mucoromycota(1.00),c:Mucoromycetes(1.00),o:Mucorales(1.00),f:Pilobolaceae(1.00),g:Pilobolus(1.00),s:Pilobolus_crystallinus(1.00)	+	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Pilobolaceae,g:Pilobolus,s:Pilobolus_crystallinus
ASV127	k:Fungi(1.00),p:Basidiomycota(0.65),c:Agaricomycetes(0.63),o:Agaricales(0.34),f:Hydnangiaceae(0.12),g:Laccaria(0.12),s:Laccaria_montana(0.12)	+	k:Fungi
ASV12	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Psathyrellaceae(0.83),g:Coprinopsis(0.80),s:Coprinopsis_sclerotiorum(0.33)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis
ASV125	k:Fungi(1.00),p:Ascomycota(0.69),c:Leotiomycetes(0.53),o:Helotiales(0.53)	+	k:Fungi
ASV128	k:Fungi(1.00),p:Ascomycota(1.00),c:Ascomycota_class_incertae_sedis(1.00),o:Ascomycota_order_incertae_sedis(1.00),f:Pseudeurotiaceae(1.00),g:Pseudogymnoascus(1.00),s:Pseudogymnoascus_pannorum(0.77)	+	k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Pseudeurotiaceae,g:Pseudogymnoascus
ASV130	k:Fungi(1.00),p:Basidiomycota(0.61),c:Agaricomycetes(0.56),o:Agaricales(0.30),f:Hydnangiaceae(0.08),g:Laccaria(0.08),s:Laccaria_montana(0.08)	+	k:Fungi
ASV129	k:Fungi(1.00),p:Ascomycota(0.87),c:Saccharomycetes(0.85),o:Saccharomycetales(0.85),f:Dipodascaceae(0.84),g:Geotrichum(0.73),s:Geotrichum_candidum(0.73)	+	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae
ASV13	k:Fungi(1.00),p:Ascomycota(1.00),c:Ascomycota_class_incertae_sedis(0.50),o:Ascomycota_order_incertae_sedis(0.50),f:Ascomycota_family_incertae_sedis(0.50),g:Preussia(0.50),s:Preussia_africana(0.29)	+	k:Fungi,p:Ascomycota
ASV132	k:Fungi(1.00),p:Basidiomycota(1.00),c:Tremellomycetes(1.00),o:Filobasidiales(0.96),f:Filobasidiaceae(0.96),g:Naganishia(0.96),s:Naganishia_albida(0.96)	+	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia_albida
ASV134	k:Fungi(1.00),p:Ascomycota(0.95),c:Saccharomycetes(0.94),o:Saccharomycetales(0.94),f:Dipodascaceae(0.94),g:Geotrichum(0.85),s:Geotrichum_candidum(0.85)	+	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Dipodascaceae,g:Geotrichum,s:Geotrichum_candidum
ASV135	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Diaporthales(1.00),f:Valsaceae(1.00),g:Cytospora(0.81),s:Cytospora_schulzeri(0.45)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Valsaceae,g:Cytospora
ASV136	k:Fungi(1.00),p:Ascomycota(1.00)	+	k:Fungi,p:Ascomycota
ASV137	k:Fungi(1.00),p:Basidiomycota(0.69),c:Agaricomycetes(0.63),o:Agaricales(0.25),f:Amanitaceae(0.10),g:Amanita(0.10),s:Amanita_flavoconia(0.05)	+	k:Fungi
ASV138	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.97),o:Sordariales(0.96),f:Lasiosphaeriaceae(0.84),g:Cercophora(0.28),s:Cercophora_sulphurella(0.25)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
