ASV_ID,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV103,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.82,Pleosporales,0.82,Pleosporales_incertae_sedis,0.82,Coniothyrium,0.82,Coniothyrium_fuckelii,0.82,+,Species,Coniothyrium_fuckelii,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Coniothyrium,s:Coniothyrium_fuckelii"
ASV102,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV10,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.97,Sordariales,0.97,Lasiosphaeriaceae,0.84,,,,,+,Family,Lasiosphaeriaceae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae"
ASV105,Fungi,1.00,Basidiomycota,1.00,Tremellomycetes,1.00,Cystofilobasidiales,1.00,,,Cystofilobasidium,1.00,Cystofilobasidium_capitatum,1.00,-,Species,Cystofilobasidium_capitatum,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Cystofilobasidiales,g:Cystofilobasidium,s:Cystofilobasidium_capitatum"
ASV1,Fungi,1.00,Ascomycota,1.00,Leotiomycetes,0.87,Thelebolales,0.87,Thelebolaceae,0.87,,,,,+,Family,Thelebolaceae,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae"
ASV101,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Eurotiales,1.00,Trichocomaceae,1.00,Penicillium,1.00,Penicillium_chrysogenum,0.96,+,Species,Penicillium_chrysogenum,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium,s:Penicillium_chrysogenum"
ASV109,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,,,,,,,+,Order,Pezizales,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales"
ASV108,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.86,,,,,,,,,+,Class,Sordariomycetes,"k:Fungi,p:Ascomycota,c:Sordariomycetes"
ASV11,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.97,Sordariales,0.96,,,,,,,+,Order,Sordariales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales"
ASV110,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Xylariales,1.00,Diatrypaceae,1.00,,,,,+,Family,Diatrypaceae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae"
ASV107,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.99,Microascales,0.99,Microascaceae,0.99,,,,,+,Family,Microascaceae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae"
ASV100,Fungi,1.00,Basidiomycota,1.00,Cystobasidiomycetes,1.00,Cystobasidiales,1.00,Cystobasidiaceae,1.00,Cystobasidium,1.00,,,-,Genus,Cystobasidium,"k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Cystobasidiales,f:Cystobasidiaceae,g:Cystobasidium"
ASV112,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Microascales,1.00,Microascaceae,1.00,,,,,+,Family,Microascaceae,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae"
ASV114,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,1.00,Ascomycota_order_incertae_sedis,1.00,Cephalothecaceae,1.00,,,,,+,Family,Cephalothecaceae,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Cephalothecaceae"
ASV115,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV116,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Phallales,1.00,Phallaceae,1.00,Phallus,1.00,Phallus_impudicus,1.00,+,Species,Phallus_impudicus,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Phallales,f:Phallaceae,g:Phallus,s:Phallus_impudicus"
