Sample,Merged,Non_chimeric,Percent_retained
LME1634,27134,24234,89.31
LME1635,21688,20632,95.13
LME1636,18524,16997,91.76
LME1637,15802,15506,98.13
LME1646,18809,18136,96.42
LME1652,30062,28305,94.16
LME1656,24091,21715,90.14
LME1663,25738,23889,92.82
LME1668,27500,26423,96.08
LME1670,18249,17279,94.68
LME1679,20301,20235,99.67
LME1689,14010,12874,91.89
LME1692,19856,18739,94.37
LME1695,31231,29550,94.62
LME1698,22927,22062,96.23
LME1701,23067,22536,97.7
LME1702,22258,21386,96.08
LME1705,26286,25973,98.81
LME1708,22982,21607,94.02
LME1714,11455,10826,94.51
