"Sample","Input","Quality_filtered","Denoised_R1","Denoised_R2","Merged","Non_chimeric","UNCROSS2_filtered","Contaminant_filtered"
"LME1634",31957,28018,27908,27952,27134,24234,24234,NA
"LME1635",29957,23428,22879,22911,21688,20632,20365,NA
"LME1636",24588,18935,18869,18783,18524,16997,16986,NA
"LME1637",26713,17778,16923,17248,15802,15506,15501,NA
"LME1646",29284,19510,19402,19417,18809,18136,18067,NA
"LME1652",37716,30891,30716,30703,30062,28305,28290,NA
"LME1656",30767,24534,24419,24400,24091,21715,21713,NA
"LME1663",30984,26824,26425,26438,25738,23889,23853,NA
"LME1668",33429,28477,28336,28320,27500,26423,26273,NA
"LME1670",30749,19143,18961,19022,18249,17279,17279,NA
"LME1679",29904,22222,21759,21750,20301,20235,19487,NA
"LME1689",20227,14615,14393,14531,14010,12874,12867,NA
"LME1692",29284,20341,20233,20251,19856,18739,18716,NA
"LME1695",37175,31495,31442,31444,31231,29550,29436,NA
"LME1698",33104,23391,23278,23292,22927,22062,22042,NA
"LME1701",30330,23407,23331,23309,23067,22536,22462,NA
"LME1702",33320,22835,22795,22761,22258,21386,21342,NA
"LME1705",34031,26723,26603,26604,26286,25973,25949,NA
"LME1708",32865,23657,23573,23545,22982,21607,21587,NA
"LME1714",19809,11821,11749,11773,11455,10826,10806,NA
