sample,reads.in,reads.out,percent_retained
LME1634,31957,28018,87.67
LME1635,29957,23428,78.21
LME1636,24588,18935,77.01
LME1637,26713,17778,66.55
LME1646,29284,19510,66.62
LME1652,37716,30891,81.9
LME1656,30767,24534,79.74
LME1663,30984,26824,86.57
LME1668,33429,28477,85.19
LME1670,30749,19143,62.26
LME1679,29904,22222,74.31
LME1689,20227,14615,72.25
LME1692,29284,20341,69.46
LME1695,37175,31495,84.72
LME1698,33104,23391,70.66
LME1701,30330,23407,77.17
LME1702,33320,22835,68.53
LME1705,34031,26723,78.53
LME1708,32865,23657,71.98
LME1714,19809,11821,59.67
